"","SubjectID","age","gender","sspan.raw","ppvt.raw","wasi.vocab.raw","wasi.matr.raw","wasi.iq","wj3.watt.raw","wj3.wid.raw","wj3.rcomp.raw","wj3.oralcomp.raw","celf.rs.raw","celf.fs.raw","towre.w.ipm","towre.nw.ipm","wj3.rf.ipm","decoding.comp","handedness","vocab.comp"
"46",72,21.34,"Male",32,197,31,20,84,26,64,36,22,81,53,96,70.67,"25.33",-0.994090663109567,"right",-0.866330965028236
"47",73,22,"Female",46,207,37,18,89,31,72,38,26,85,53,116,77.33,"26.67",0.480576389112402,"right",0.00243017631867247
"48",75,18.29,"Female",21,195,30,21,86,30,66,35,25,78,51,109.33,56,"20.33",-0.545036536921742,"left",-1.01347678165714
"49",76,18.16,"Male",16,154,25,16,72,32,63,32,22,74,49,116,79.43,"18.33",0.224730703593046,"right",-2.20089124351217
"50",77,24.07,"Female",21,196,38,20,93,24,73,36,27,73,54,118.67,68,"26",-0.323467459404282,"right",-0.297035970125996
"51",78,19.8,"Female",13,151,24,16,75,28,61,30,21,49,44,88,48,"16.33",-1.43496107512588,"right",-2.31503454264978
"52",79,20.64,"Female",37,195,41,21,104,30,72,39,28,80,54,109.33,73.33,"22",0.135496402064208,"right",-0.070064883667679
"53",80,20.66,"Male",49,166,30,16,82,16,55,29,24,56,51,106.67,53.33,"19.67",-1.77788995707417,"right",-1.62936459382017
"54",81,19.36,"Male",23,171,34,16,88,26,60,36,25,64,52,90.67,46.67,"19.33",-1.63933637211501,"right",-1.2107696765858
"55",82,19.28,"Female",39,191,38,20,100,30,67,37,26,74,51,108,70.67,"22",-0.242558868661272,"right",-0.441574340287485
"56",83,23.83,"Female",43,218,44,25,119,30,75,43,30,95,55,138.67,89.6,"40.55",1.19000977956848,"right",1.09710676103517
"57",84,21.01,"Female",24,180,27,13,74,19,59,36,22,80,53,96,36,"18.33",-2.04756305465566,"right",-1.64634715177407
"58",85,21.73,"Female",36,209,45,21,111,30,74,38,26,88,55,126.67,73.33,"34.13",0.556419631068727,"right",0.769679045833033
"59",86,21.64,"Female",36,169,25,22,86,28,65,33,25,89,49,118.67,56,"19.67",-0.707300845442805,"right",-2.01413210176425
"60",87,22.56,"Male",49,213,39,27,120,25,69,43,31,86,54,124,53.33,"28.33",-0.712807929881402,"right",0.428672199706293
