"","SubjectID","OC.LM1","OC.RLM1","PPVT.LM2","PPVT.RLM2","age","gender","sspan.raw","ppvt.raw","wasi.vocab.raw","wasi.matr.raw","wasi.iq","wj3.watt.raw","wj3.wid.raw","wj3.rcomp.raw","wj3.oralcomp.raw","celf.rs.raw","celf.fs.raw","towre.w.ipm","towre.nw.ipm","wj3.rf.ipm","decoding.comp","handedness","vocab.comp","sspan.tf","wasi.matr.tf","wasi.iq.tf","wj3.watt.tf","wj3.wid.tf","wj3.rcomp.tf","wj3.oralcomp.tf","celf.rs.tf","celf.fs.tf","towre.w.tf","towre.nw.tf","wj3.rf.tf","age.c","sspan.cs","wasi.matr.cs","wasi.iq.cs","wj3.watt.cs","wj3.wid.cs","wj3.rcomp.cs","wj3.oralcomp.cs","celf.rs.cs","celf.fs.cs","towre.w.cs","towre.nw.cs","wj3.rf.cs"
"21",36,"UPC","UPC","NSC","UPC",17.19,"Female",34,193,39,17,90,30,71,34,26,84,51,126.67,85.12,33.49,0.585394085692438,"right",-0.300090475093413,-0.593068198170423,-1.22731948719366,-0.914496439016871,0.408983417827933,0.233701526615042,-1.05223057979554,-0.51714658018286,-0.136299434816816,-1.08026951836234,0.274378970813372,0.958758576584051,0.701905015957075,-2.56878281622912,-0.521907399655513,-1.19152441206336,-0.91973509070616,0.467952286734519,0.353513652182897,-1.03619686335791,-0.40882828335129,0.0635105164276427,-0.7161177499027,0.307832082835755,0.92462428311055,0.633637269767419
"22",37,"NSC","NSC","UPC","UPC",22.3,"Female",33,209,38,21,100,31,75,37,24,73,52,118.67,77.33,32,0.754285879035616,"right",0.169326019839741,-0.689814688382933,-0.257555094141849,-0.26506643900764,0.951822372174088,1.22470370101385,-0.395186268563264,-1.0539424222927,-1.15474567049678,-0.776371583828048,-0.153302559075424,0.409043802799406,0.533753783282898,2.54121718377088,-0.623425547219428,-0.119343902011703,-0.307550085798732,0.762614896072597,1.05802484514526,-0.324981282268246,-1.01350691009309,-1.0089737121532,-0.387966344784874,-0.100963650060943,0.443333841838798,0.451659935774034
"23",39,"EPC","EPC","EPC","EPC",18.18,"Female",30,168,29,17,83,10,45,32,23,71,52,84,8,19,-2.80048949633813,"right",-1.68617122069371,-0.9706377492355,-1.22731948719366,-1.39522467800641,-2.22463290521555,-2.43972269733027,-1.45130757582092,-1.29437370385504,-1.2932495277062,-0.776371583828048,-1.81468884048567,-2.90771317736836,-1.21436405502429,-1.57878281622912,-0.927979989911173,-1.19152441206336,-1.34826459414136,-5.42529990002704,-4.22580910207243,-1.51034058408436,-1.31584622346399,-1.20397084462245,-0.387966344784874,-1.872582157502,-3.84008930236795,-1.13606177020852
"24",40,"EPC","EPC","EPC","EPC",16.63,"Female",24,178,28,15,75,24,63,32,20,63,55,122.67,60,18.67,-0.971112764830277,"right",-1.60068094528004,-1.48780907468548,-1.60646958787146,-1.9753061912829,-1.48718177037573,-1.14444029872323,-1.45130757582092,-1.91133348710321,-1.73239420993519,0.640938222376512,0.0585607606528155,-0.703604462614291,-1.26773227869844,-3.12878281622912,-1.53708887529466,-1.72761466708919,-1.8380125980673,-1.30002336929395,-1.05550873374182,-1.51034058408436,-2.22286416357669,-1.98395937449943,0.596487870568606,0.103434216387406,-0.627367486433276,-1.1763654750527
"25",41,"UGC","UGC","UGC","UGC",23.17,"Male",34,205,30,21,85,30,70,42,24,76,55,106.67,77.33,25.33,0.0448311058063786,"right",-0.675455799498028,-0.593068198170423,-0.257555094141849,-1.25547795703912,0.408983417827933,0.0209052893051829,0.86012317590078,-1.0539424222927,-0.922238574124271,0.640938222376512,-0.764588268508222,0.409043802799406,-0.289521707740286,3.41121718377088,-0.521907399655513,-0.119343902011703,-1.22582759315987,0.467952286734519,0.177385853942307,0.860378019547866,-1.01350691009309,-0.716478013449337,0.596487870568606,-0.714157249405988,0.443333841838798,-0.36296343183394
"26",42,"UPC","UPC","UPC","UPC",21.09,"Female",27,183,29,23,92,29,65,32,23,89,52,78.67,70.67,23.67,-0.865177634465337,"right",-1.41061873231029,-1.23686401006605,0.340499645878137,-0.781280252166592,-0.0546451861840314,-0.863871399597716,-1.45130757582092,-1.29437370385504,0.497781445098861,-0.776371583828048,-2.04049764433994,-0.0370630242572242,-0.516021121148612,1.33121718377088,-1.23253443260292,0.416746353014127,-0.797298089724675,0.173289677396441,-0.703253137260641,-1.51034058408436,-1.31584622346399,0.551003347600755,-0.387966344784874,-2.14494231454443,0.0318583169517808,-0.56570328044402
"27",43,"EPC","EPC","UPC","UPC",18.94,"Female",25,193,33,17,88,27,65,33,24,73,48,114.67,70.67,24,-0.597552093127322,"right",-0.814678783087663,-1.40590529908148,-1.22731948719366,-1.04949511735111,-0.78133227313127,-0.863871399597716,-1.25561817852385,-1.0539424222927,-1.15474567049678,-1.67397210897167,-0.361154893836815,-0.0370630242572242,-0.470189910255278,-0.818782816229117,-1.43557072773075,-1.19152441206336,-1.04217209168765,-0.416035541279715,-0.703253137260641,-1.27326872372114,-1.01350691009309,-1.0089737121532,-1.70057196525618,-0.305361516509291,0.0318583169517808,-0.525399575599847
"28",45,"NSC","EAC","NSC","NSC",21.73,"Female",18,180,28,24,83,28,64,37,26,71,51,117.33,41.33,21.33,-1.00628654041422,"right",-1.56058243377503,-1.94050049754132,0.669363476148038,-1.39522467800641,-0.448546366580239,-1.00887657777192,-0.395186268563264,-0.51714658018286,-1.2932495277062,-1.08026951836234,-0.223382722537249,-1.71474684468931,-0.85355288574366,1.97121718377088,-2.14619776067816,0.684791480527042,-1.34826459414136,-0.121372931941637,-0.87938093550123,-0.324981282268246,-0.40882828335129,-1.20397084462245,-0.7161177499027,-0.169436935321139,-1.78085818457751,-0.85149318752088
"29",47,"EPC","EPC","EPC","EPC",19.58,"Female",26,178,26,18,81,28,65,35,21,64,46,117.33,58.67,19.67,-0.681492256327049,"right",-1.77221038127812,-1.32224711353641,-1.01203081214324,-1.53699825658422,-0.448546366580239,-0.863871399597716,-0.841074874503874,-1.72243646430137,-1.68657179860702,-1.89335990205065,-0.223382722537249,-0.782361527364638,-1.10781783713631,-0.17878281622912,-1.33405258016683,-0.923479284550448,-1.47070159512285,-0.121372931941637,-0.703253137260641,-0.799125002994691,-1.92052485020579,-1.88646080826481,-2.35687477549183,-0.169436935321139,-0.70953902518699,-1.05423303613096
"30",50,"UPC","UPC","UPC","UPC",18.92,"Female",42,213,43,22,112,32,74,37,28,89,53,168.65,105.45,33.26,2.40261534068528,"right",0.77173107170246,0.234637283922601,0.0316697425533037,0.46481879274892,1.58428105882695,0.954666834177817,-0.395186268563264,0.0983610789803018,0.497781445098861,-0.399230700666065,2.7657400708167,2.5270859361387,0.676274220645408,-0.838782816229116,0.290237780855809,0.148701225501212,0.427071920090183,1.05727750541068,0.881897046904666,-0.324981282268246,0.195850343390509,0.551003347600755,-0.0598149396670472,2.45298769121117,2.18067494691732,0.60554680881542
"31",51,"EAC","EAC","EAC","EAC",23.03,"Male",13,202,40,17,95,29,68,38,27,74,50,128,61.33,24,-0.192638549452478,"right",0.0723617262451214,-2.26239029476689,-1.22731948719366,-0.584665350746804,-0.0546451861840314,-0.367120892959059,-0.160320117218132,-0.21954000549557,-1.08064741389013,-1.32413455511096,0.347005350901697,-0.623867985804019,-0.470189910255278,3.27121718377088,-2.65378849849773,-1.19152441206336,-0.613642588252446,0.173289677396441,-0.174869742538872,-0.0879094219050235,-0.106488969980391,-0.911475145918582,-1.04426915502053,0.375794373429831,-0.545195947679562,-0.525399575599847
"32",52,"NSC","NSC","NSC","NSC",18.32,"Male",42,216,47,25,131,29,74,43,32,94,55,106.67,84.55,31,0.343403737840606,"right",1.25541548783126,0.234637283922601,1.01868139115073,1.53019044009301,-0.0546451861840314,0.954666834177817,1.13578914998184,1.58510943170428,1.26086842955686,0.640938222376512,-0.764588268508222,0.917540130476324,0.417996138135394,-1.43878281622912,0.290237780855809,0.952836608039957,1.5902234294143,0.173289677396441,0.881897046904666,1.09744987991109,1.40520759687411,1.03849617877387,0.596487870568606,-0.714157249405988,0.889407909358958,0.329527496852299
"33",54,"EAC","EAC","NSC","NSC",23.66,"Male",36,209,37,21,94,32,73,40,27,83,55,143.72,83.72,22,1.34239859096978,"right",0.0835613018406998,-0.394989124686561,-0.257555094141849,-0.649785432017812,1.58428105882695,0.6999360661747,0.333580035710489,-0.21954000549557,-0.249073685432781,0.640938222376512,1.2374503263052,0.857798252508968,-0.754554456992161,3.90121718377088,-0.318871104527682,-0.119343902011703,-0.674861088743189,1.05727750541068,0.705769248664076,0.386234298821421,-0.106488969980391,-0.0339880498069798,0.596487870568606,1.17907798857184,0.838127926527693,-0.769664453443318
"34",55,"UGC","UGC","NSC","NSC",18.08,"Female",53,222,44,26,124,32,75,45,31,81,56,146.9272428,80.45454545,46.49006623,1.48980681798143,"right",1.30830148038047,1.51785050002062,1.38886536093685,1.14919809329344,1.58428105882695,1.22470370101385,1.71220791790996,1.17993866161485,-0.461575640655752,1.34508990488873,1.42622563485247,0.625981582766968,1.99402493281063,-1.67878281622912,1.40693740405888,1.22088173555287,1.1616939259791,1.05727750541068,1.05802484514526,1.57159360063753,1.10286828350321,-0.228985182276225,0.924639275686433,1.3429663849473,0.636377982840614,2.22136706458141
"35",56,"NSC","NSC","UGC","UGC",18.67,"Male",51,220,49,24,133,29,76,45,32,94,55,173.33,88.5,38.43,1.77579543065501,"right",1.62927379628314,1.27272356381617,0.669363476148038,1.63679126014217,-0.0546451861840314,1.51074668234039,1.71220791790996,1.58510943170428,1.26086842955686,0.640938222376512,3.06786635749304,1.20634508707832,1.22647402684689,-1.08878281622912,1.20390110893104,0.684791480527042,1.71266043039578,0.173289677396441,1.23415264338584,1.57159360063753,1.40520759687411,1.03849617877387,0.596487870568606,2.69213319495574,1.1334512011463,1.23697151804079
"36",61,"NSC","NSC","NSC","NSC",22.6,"Female",30,213,43,24,114,31,74,41,25,85,53,137.33,81.33,28,1.06559595862935,"right",0.77173107170246,-0.9706377492355,0.669363476148038,0.581834819032337,0.951822372174088,0.954666834177817,0.592740323391485,-0.795074325874776,-0.01901303757345,-0.399230700666065,0.868449257187931,0.687623310654085,0.0553100197900092,2.84121718377088,-0.927979989911173,0.684791480527042,0.549508921071668,0.762614896072597,0.881897046904666,0.623306159184644,-0.711167596722189,0.161009082662265,-0.0598149396670472,0.852552396920604,0.690466289218388,-0.0368698199129068
"37",62,"NSC","UPC","NSC","NSC",18.49,"Male",37,209,35,18,87,28,63,36,30,81,55,116,52,18.33,-0.902286583947408,"right",-0.0879681341573834,-0.293694381472266,-1.01203081214324,-1.11768296951395,-0.448546366580239,-1.14444029872323,-0.622082519145794,0.797492858018725,-0.461575640655752,0.640938222376512,-0.292492669506716,-1.16221621304745,-1.32335575934432,-1.26878281622912,-0.217352956963767,-0.923479284550448,-1.10339059217839,-0.121372931941637,-1.05550873374182,-0.562053142631468,0.800528970132307,-0.228985182276225,0.596487870568606,-0.237399225915215,-1.12163238119246,-1.21789050428609
"38",65,"NSC","NSC","NSC","NSC",22.06,"Female",45,204,40,12,87,32,74,40,27,92,55,126.67,76,35.42,0.962746689416106,"right",0.144734418180887,0.568557295187025,-2.05429091002048,-1.11768296951395,1.58428105882695,0.954666834177817,0.333580035710489,-0.21954000549557,0.939070876238383,0.640938222376512,0.274378970813372,0.318168621726055,0.9125509655006,2.30121718377088,0.594792223547554,-2.53175004962794,-1.10339059217839,1.05727750541068,0.881897046904666,0.386234298821421,-0.106488969980391,0.843499046304623,0.596487870568606,0.307832082835755,0.361162303085085,0.869352876886368
"39",66,"NSC","NSC","UPC","UPC",24.91,"Male",27,200,32,18,88,28,67,35,24,79,52,122.67,62.67,19.33,-0.42699693989219,"left",-0.682841740160255,-1.23686401006605,-1.01203081214324,-1.04949511735111,-0.448546366580239,-0.543520643093917,-0.841074874503874,-1.0539424222927,-0.657479355324975,-0.776371583828048,0.0585607606528155,-0.542550735768896,-1.16158890048629,5.15121718377088,-1.23253443260292,-0.923479284550448,-1.04217209168765,-0.121372931941637,-0.350997540779462,-0.799125002994691,-1.01350691009309,-0.42398231474547,-0.387966344784874,0.103434216387406,-0.462406577807399,-1.09575806536435
"40",68,"NSC","UPC","UPC","UPC",22.82,"Female",38,208,36,23,95,31,72,38,27,79,53,141.82,90,33.41,1.18524496189767,"right",-0.0432268162365286,-0.190920173694672,0.340499645878137,-0.584665350746804,0.951822372174088,0.459833213798869,-0.160320117218132,-0.21954000549557,-0.657479355324975,-0.399230700666065,1.12673783984843,1.31794242887516,0.693003122091439,3.06121718377088,-0.115834809399852,0.416746353014127,-0.613642588252446,0.762614896072597,0.529641450423487,-0.0879094219050235,-0.106488969980391,-0.42398231474547,-0.0598149396670472,1.08198900200887,1.22612586891365,0.62386667465368
"41",70,"UPC","UPC","UPC","UPC",24.9,"Male",32,193,36,19,89,30,70,33,28,91,55,125.33,81.33,26.33,0.41668974305181,"right",-0.557384629090538,-0.785005929962515,-0.778952014710638,-0.981769009080224,0.408983417827933,0.0209052893051829,-1.25561817852385,0.0983610789803018,0.786592216628896,0.640938222376512,0.201642706279889,0.687623310654085,-0.15771217387029,5.14121718377088,-0.724943694783343,-0.655434157037533,-0.980953591196903,0.467952286734519,0.177385853942307,-1.27326872372114,0.195850343390509,0.74600048007,0.596487870568606,0.239358797575558,0.690466289218388,-0.240830992912205
"42",71,"EAC","EAC","NSC","NSC",23.43,"Female",45,210,39,18,91,28,67,41,30,82,54,162.2,76,32,0.540106855619179,"right",0.297046207608961,0.568557295187025,-1.01203081214324,-0.847669435583581,-0.448546366580239,-0.543520643093917,0.592740323391485,0.797492858018725,-0.357458747445781,0.0669387761394801,2.35710865386266,0.318168621726055,0.533753783282898,3.67121718377088,0.594792223547554,-0.923479284550448,-0.858516590215417,-0.121372931941637,-0.350997540779462,0.623306159184644,0.800528970132307,-0.131486616041602,0.268336465450779,2.12339613156321,0.361162303085085,0.451659935774034
