"","SubjectID","composite1","handedness"
"1",1,0.889828886761122,"right"
"2",2,0.391252522930742,"right"
"3",3,0.92548867996899,"right"
"4",11,1.26734673038739,"right"
"5",12,0.448311358963612,"right"
"6",14,1.14249936648463,"left"
"7",15,0.034606877764969,"right"
"8",17,-0.87900140143266,"right"
"9",18,-0.120326452534933,"left"
"10",19,0.2110940102158,"right"
"11",21,-0.23163247651523,"right"
"12",22,-1.74977900022723,"right"
"13",23,-0.5818569709747,"right"
"14",24,1.75269467658634,"right"
"15",25,-0.518313252210534,"right"
"16",27,1.97609358233346,"right"
"17",28,1.46247264494495,NA
"18",30,0.0895167449108901,"right"
"19",31,2.16783299421302,"right"
"20",32,-0.797829917406833,"right"
"21",33,-1.08194637074404,"right"
"22",34,-0.313034721904055,NA
"23",35,-2.43855317121913,"right"
"24",36,0.585394085692438,"right"
"25",37,0.754285879035616,"right"
"26",39,-2.80048949633813,"right"
"27",40,-0.971112764830277,"right"
"28",41,0.0448311058063786,"right"
"29",42,-0.865177634465337,"right"
"30",43,-0.597552093127322,"right"
"31",45,-1.00628654041422,"right"
"32",46,-0.202432936057011,"right"
"33",47,-0.681492256327049,"right"
"34",50,2.40261534068528,"right"
"35",51,-0.192638549452478,"right"
"36",52,0.343403737840606,"right"
"37",54,1.34239859096978,"right"
"38",55,1.48980681798143,"right"
"39",56,1.77579543065501,"right"
"40",61,1.06559595862935,"right"
"41",62,-0.902286583947408,"right"
"42",65,0.962746689416106,"right"
"43",66,-0.42699693989219,"left"
"44",68,1.18524496189767,"right"
"45",69,-0.640419048346251,NA
"46",70,0.41668974305181,"right"
"47",71,0.540106855619179,"right"
"48",72,-0.994090663109567,"right"
"49",73,0.480576389112402,"right"
"50",75,-0.545036536921742,"left"
"51",76,0.224730703593046,"right"
"52",77,-0.323467459404282,"right"
"53",78,-1.43496107512588,"right"
"54",79,0.135496402064208,"right"
"55",80,-1.77788995707417,"right"
"56",81,-1.63933637211501,"right"
"57",82,-0.242558868661272,"right"
"58",83,1.19000977956848,"right"
"59",84,-2.04756305465566,"right"
"60",85,0.556419631068727,"right"
"61",86,-0.707300845442805,"right"
"62",87,-0.712807929881402,"right"
"63",88,1.04711361635834,"right"
"64",89,-1.02953970807275,"right"
"65",90,-1.20868586419635,NA
"66",91,-0.524687502326545,"right"
"67",92,1.6778336386708,"left"
"68",94,1.11149989000077,"right"
"69",95,1.28041932917695,"right"
"70",97,0.345286889196289,"left"
"71",98,-0.780261477114471,"right"
"72",99,-0.270166749079121,"right"
"73",100,0.237370517184715,"right"
"74",102,0.4009144124967,"right"
"75",103,-0.180545701525234,"right"
"76",105,-0.914603887103266,"right"
"77",106,0.208655438349497,"right"
"78",108,-2.12140289893886,"right"
"79",110,0.435750714257567,"right"
"80",111,0.349526567469013,"right"
"81",112,0.129924879578756,"right"
"82",113,1.42667865517557,"left"
"83",115,-2.37568211994478,"left"
"84",117,1.42874359457874,"right"
"85",118,0.506971992299807,"right"
"86",119,-1.23877324149531,"right"
"87",120,0.482630974775192,"right"
"88",121,0.146928011841181,"right"
"89",122,0.148639192442711,"right"
"90",123,-0.045963756589777,"right"
"91",124,1.34273574500997,"right"
"92",125,1.06390428771256,"right"
"93",126,0.542135922214686,"right"
"94",127,1.48489939066738,"right"
"95",128,1.41668478249609,"right"
"96",129,0.52814861566882,"right"
"97",130,-0.0396179394554835,"right"
"98",131,0.983354043825298,"right"
"99",132,0.719069657242567,"right"
"100",133,1.15000715559025,"right"
"101",134,-0.547999017783917,"right"
"102",136,0.187363891759691,"right"
"103",137,0.156980348081051,"left"
"104",138,-0.159278886321057,"right"
"105",140,0.891627458630567,"left"
"106",141,-0.281902622600259,"right"
"107",142,-0.069776168471936,"right"
"108",143,0.443535808572415,"right"
"109",144,1.11924353785454,"right"
"110",145,0.497120755176164,"right"
"111",146,0.458527065180191,"right"
"112",147,0.536998325342757,"right"
"113",148,-0.63862820322302,"right"
"114",150,1.35110528608951,"left"
"115",152,0.666168633779032,"right"
"116",153,0.303847107913385,"right"
"117",154,-0.719926372521956,"left"
"118",155,-1.65738525905059,"right"
"119",157,1.37629729102568,"right"
"120",158,-0.231774380340836,"right"
"121",159,0.4038886870567,"right"
"122",160,0.722751644208697,"right"
"123",161,0.246953699826685,"right"
"124",162,1.85930681637218,"right"
"125",163,-1.77301383578471,"right"
"126",164,0.0825535784825164,"right"
"127",165,0.979379712414059,"right"
"128",166,-1.90242735861771,"right"
"129",167,-0.451253695317229,"right"
"130",168,0.427961021503436,"right"
"131",169,0.0894523910801573,"left"
"132",170,-0.191046617114171,"right"
"133",171,-1.95570045430969,"right"
"134",172,0.498412006662527,"right"
"135",173,1.3263504739078,"right"
"136",174,0.365528887601333,"left"
"137",175,0.144419532672765,"right"
"138",177,0.64821957488316,"right"
"139",178,0.253506292096352,"right"
"140",180,-0.912585355467424,"left"
"141",181,-1.12372320661719,"right"
"142",182,1.04202409346668,"right"
"143",184,1.36102893327989,"right"
"144",185,1.06657920593266,"right"
"145",186,1.66385765503664,"right"
"146",187,0.545455858065078,"right"
"147",188,0.759357516614595,"right"
"148",189,1.25972887172965,"right"
"149",190,0.437530185484958,"right"
"150",193,0.0389454942947554,"left"
"151",194,0.666192712570218,"right"
"152",195,-0.114838355781937,"right"
"153",201,-0.975909183905109,"right"
"154",202,-1.96940788307317,"right"
"155",203,-0.0710474665432414,"right"
"156",204,-1.46005341904975,"left"
"157",205,-2.23315111040927,"right"
"158",206,0.314190302104283,NA
"159",207,1.51373004300496,"right"
