,SubjectID,cohort,age,gender,sspan.raw,ppvt.raw,wasi.vocab.raw,wasi.matr.raw,wasi.iq,wj3.watt.raw,wj3.wid.raw,wj3.rcomp.raw,wj3.oralcomp.raw,celf.rs.raw,celf.fs.raw,towre.w.ipm,towre.nw.ipm,wj3.rf.ipm,composite1,wasi.matr.tf,ppvt.tf,wj3.rcomp.tf,age.c,Pred,stdPred,resid,CI_group
29,51,a197,23.03,Male,13,202,40,17,95,29,68,38,27,74,50,128,61.33,24,-0.274021542,-1.165620368,-0.120768691,-0.121346107,3.174942966,-0.180795251,-0.251782847,0.059449144,EAC
30,52,a197,18.32,Male,42,216,47,25,131,29,74,43,32,94,55,106.67,84.55,31,0.261522967,1.084522427,0.99823297,1.221716636,-1.535057034,0.738924926,0.898758466,0.48279171,NSC
31,54,a197,23.66,Male,36,209,37,21,94,32,73,40,27,83,55,143.72,83.72,22,1.264114462,-0.210920598,0.391475369,0.388300498,3.804942966,0.477633489,0.571891012,-0.089332991,EAC
32,55,a197,18.08,Female,53,222,44,26,124,32,75,45,31,81,56,146.9272428,80.45454545,46.49006623,1.428127778,1.466461809,1.603751013,1.824372936,-1.775057034,1.299090377,1.599508008,0.52528256,UGC
33,56,a197,18.67,Male,51,220,49,24,133,29,76,45,32,94,55,173.33,88.5,38.43,1.660431308,0.726444066,1.392534331,1.824372936,-1.185057034,1.11858118,1.373696622,0.705791756,UGC
34,61,a197,22.6,Female,30,213,43,24,114,31,74,41,25,85,53,137.33,81.33,28,0.994454762,0.726444066,0.725784687,0.656819093,2.744942966,0.740581235,0.900830456,-0.083762141,EAC
35,62,a197,18.49,Male,37,209,35,18,87,28,63,36,30,81,55,116,52,18.33,-0.97773426,-0.956566383,0.391475369,-0.595114078,-1.365057034,-0.065309532,-0.107313807,-0.529804546,UPC
36,65,a197,22.06,Female,45,204,40,12,87,32,74,40,27,92,55,126.67,76,35.42,0.909793033,-1.946218157,0.016678043,0.388300498,2.204942966,-0.074833196,-0.119227615,0.463133695,NSC
37,68,a197,22.82,Female,38,208,36,23,95,31,72,38,27,79,53,141.82,90,33.41,1.086428707,0.391601268,0.312809657,-0.121346107,2.964942966,0.469446798,0.561649715,-0.590792905,UPC
38,70,a197,24.9,Male,32,193,36,19,89,30,70,33,28,91,55,125.33,81.33,26.33,0.325275828,-0.728217989,-0.659991859,-1.240230528,5.044942966,-0.306298561,-0.408783581,-0.933931967,UPC
39,71,a197,23.43,Female,45,210,39,18,91,28,67,41,30,82,54,162.2,76,32,0.41393548,-0.956566383,0.472067731,0.656819093,3.574942966,0.300034928,0.34972074,0.356784165,NSC
40,72,a197,21.34,Male,32,197,31,20,84,26,64,36,22,81,53,96,70.67,25.33,-1.093566049,-0.479893109,-0.435602776,-0.595114078,1.484942966,-0.425123149,-0.557429442,-0.169990929,NSC
41,73,a197,22,Female,46,207,37,18,89,31,72,38,26,85,53,116,77.33,26.67,0.407789243,-0.956566383,0.236033425,-0.121346107,2.144942966,0.122877893,0.128102804,-0.244224001,NSC
42,76,a197,18.16,Male,16,154,25,16,72,32,63,32,22,74,49,116,79.43,18.33,0.150456178,-1.35607372,-1.924344744,-1.438202875,-1.695057034,-1.337854978,-1.699228549,-0.100347898,EPC
43,77,a197,24.07,Female,21,196,38,20,93,24,73,36,27,73,54,118.67,68,26,-0.402107021,-0.479893109,-0.493896176,-0.595114078,4.214942966,-0.29410376,-0.393528265,-0.301010317,NSC
