"","subject","cohort","wj3.rcomp.ss","age","wasi.vocab.raw","wj3.watt.raw","wj3.wid.raw","wasi.matr.raw","Pred","stdPred","resid","CI_group"
"1",106,"a197",93,0.901813324556304,0.534801012494798,0.749873805073923,0.00746095028229932,-1.42469941761102,102.039614534135,-0.0797506768495042,-9.03961453413534,"UPC"
"2",225,"a197",126,-0.45994845351713,2.34454431412244,0.472272911911599,1.22096256972691,0.975682776515601,120.97135767708,1.91915704771178,5.02864232292033,"NSC"
"3",1118,"a182",136,0.70874613331255,2.34454431412244,1.02747469823625,1.04760519552054,1.24239190919634,120.837082993807,1.90497965793945,15.1629170061931,"UGC"
"4",1193,"a182",132,-0.157172197958377,2.34454431412244,0.472272911911599,1.22096256972691,2.04251930723854,123.394436561187,2.17499778367003,8.60556343881304,"UGC"
"5",27,"a197",122,1.28682396672492,2.18002219579266,1.02747469823625,1.22096256972691,0.975682776515601,119.954754379944,1.81181900873064,2.04524562005562,"NSC"
"6",28,"a197",123,0.848708406364687,2.18002219579266,0.749873805073923,1.22096256972691,0.175555378473395,118.117936546858,1.61787863422599,4.88206345314211,"NSC"
"7",4039,"a40",110,-0.3857746374139,2.18002219579266,0.472272911911599,1.04760519552054,0.975682776515601,119.529637792137,1.76693308223188,-9.52963779213687,"UPC"
"8",31,"a197",118,0.923624269450063,2.01550007746287,1.02747469823625,0.874247821314163,1.77581017455781,119.824384889833,1.79805394870089,-1.8243848898332,"NSC"
"9",4002,"a40",117,-0.3857746374139,2.01550007746287,1.02747469823625,1.22096256972691,0.975682776515601,119.512117989494,1.76508325421701,-2.51211798949366,"NSC"
"10",1126,"a182",135,1.28717957860153,2.01550007746287,1.02747469823625,1.04760519552054,0.175555378473395,116.664381030211,1.46440500380719,18.3356189697888,"UGC"
"11",14,"a197",114,0.856294824238825,1.85097795913309,0.749873805073923,1.04760519552054,0.175555378473395,115.905131947578,1.38423970446411,-1.90513194757848,"NSC"
"12",117,"a197",111,0.762412918199942,1.85097795913309,-0.0829288744130491,0.874247821314163,0.442264511154131,115.71573164552,1.36424187732477,-4.71573164551999,"NSC"
"13",129,"a197",118,0.884743885205414,1.85097795913309,0.472272911911599,0.70089044710779,0.975682776515601,116.416700776707,1.43825368914943,1.58329922329312,"NSC"
"14",136,"a197",122,1.15690658184531,1.85097795913309,0.749873805073923,1.04760519552054,0.975682776515601,117.707403443052,1.57453250459648,4.29259655694842,"NSC"
"15",173,"a197",117,1.50777834877581,1.85097795913309,1.02747469823625,1.22096256972691,1.24239190919634,118.961411391721,1.70693690900501,-1.96141139172105,"NSC"
"16",212,"a197",121,-0.27597785210827,1.85097795913309,1.02747469823625,1.22096256972691,0.442264511154131,117.462460511125,1.54867020998321,3.53753948887543,"NSC"
"17",1002,"a182",121,-0.299182804286807,1.85097795913309,0.472272911911599,1.04760519552054,1.77581017455781,119.806273645684,1.79614167334637,1.19372635431561,"EAC"
"18",1031,"a182",125,-0.070580364831284,1.85097795913309,0.194672018749275,1.22096256972691,0.975682776515601,118.474951914757,1.65557409477033,6.52504808524306,"NSC"
"19",1205,"a182",116,-0.0982897514319531,1.85097795913309,0.472272911911599,0.874247821314163,1.77581017455781,119.123340801499,1.72403422252731,-3.12334080149896,"NSC"
"20",56,"a197",126,-0.428654487146617,1.6864558408033,0.194672018749275,1.22096256972691,0.708973643834866,117.142229635687,1.51485863934643,8.85777036431294,"UGC"
"21",92,"a197",117,1.75907839885958,1.6864558408033,0.749873805073923,1.22096256972691,0.442264511154131,116.198897269897,1.4152569101993,0.801102730103059,"EAC"
"22",1012,"a182",117,1.80673057736408,1.6864558408033,0.472272911911599,1.04760519552054,0.975682776515601,116.727136613967,1.47103105087432,0.272863386033486,"EAC"
"23",125,"a197",114,0.833535574080085,1.52193372247351,0.749873805073923,1.22096256972691,0.708973643834866,116.224729173587,1.41798437123843,-2.22472917358653,"NSC"
"24",133,"a197",111,0.96060805355577,1.52193372247351,0.749873805073923,1.22096256972691,1.24239190919634,117.441241453875,1.54642979624398,-6.44124145387453,"NSC"
"25",146,"a197",115,0.482663807149583,1.52193372247351,-0.0829288744130491,1.04760519552054,0.975682776515601,116.087886343577,1.40353582374385,-1.08788634357738,"EAC"
"26",150,"a197",105,0.653358179876457,1.52193372247351,0.749873805073923,0.70089044710779,0.442264511154131,113.714784029315,1.1529718629222,-8.71478402931452,"UPC"
"27",221,"a197",108,-0.61167678675417,1.52193372247351,0.194672018749275,0.874247821314163,-0.62457201956881,112.005011299604,0.972445543139766,-4.00501129960431,"NSC"
"28",229,"a197",117,-0.294943895061777,1.52193372247351,1.02747469823625,1.04760519552054,1.24239190919634,117.118836367097,1.51238866154593,-0.118836367096792,"EAC"
"29",4167,"a40",102,-0.617840750194509,1.52193372247351,0.749873805073923,-0.165896423924073,-0.62457201956881,108.280519887767,0.579195191232365,-6.28051988776721,"NSC"
"30",1016,"a182",111,0.535562467058364,1.52193372247351,0.749873805073923,0.874247821314163,1.50910104187707,116.86572269917,1.485663659934,-5.86572269916954,"NSC"
"31",1,"a197",134,0.519647587791617,1.35741160414373,0.194672018749275,0.874247821314163,0.975682776515601,114.716439756399,1.25873166301569,19.2835602436015,"UGC"
"32",52,"a197",117,-0.61641829576071,1.35741160414373,0.194672018749275,0.874247821314163,0.975682776515601,114.948778692705,1.28326316500111,2.0512213072954,"NSC"
"33",94,"a197",102,0.78137896115345,1.35741160414373,0.472272911911599,0.874247821314163,0.442264511154131,113.483079975413,1.12850739498284,-11.4830799754127,"UPC"
