SubjectID,G,age.tested,hand,sspan.raw,ppvt.raw,wasi.vocab.raw,wasi.matr.raw,wasi.iq,towre.w.ipm,towre.nw.ipm,wj3.watt.raw,wj3.oralcomp.raw,wj3.rcomp.raw,wj3.wid.raw,wj3.rf.ipm,celf.rs.raw,celf.fs.raw,ctopp2.rapid.naming.comp,Wasi.vocab.raw,wj3.rcomp.ss
72,Male,21.32,14,32,197,31,20,82,96.00,70.67,26,22,36,64,25.33,81,53,88,31,95
73,Female,21.98,16,46,207,37,18,87,116.00,77.33,31,26,38,72,26.67,85,53,98,37,100
75,Female,18.26,-7,21,195,30,21,84,109.33,56.00,30,25,35,66,20.33,78,51,98,30,93
76,Male,18.13,6,16,154,25,16,67,116.00,79.43,32,22,32,63,18.33,74,49,98,25,83
77,Female,24.07,20,21,196,38,20,92,118.67,68.00,24,27,36,73,26.00,73,54,70,38,95
78,Female,19.63,24,13,151,24,16,71,88.00,48.00,28,21,30,61,16.33,49,44,92,24,78
79,Female,20.63,17,37,195,41,21,105,109.33,73.33,30,28,39,72,22.00,80,54,70,41,103
80,Male,20.43,10,49,166,30,16,79,106.67,53.33,16,24,29,55,19.67,56,51,92,30,77
81,Male,19.33,22,23,171,34,16,86,90.67,46.67,26,25,36,60,19.33,64,52,92,34,95
82,Female,19.14,22,39,191,38,20,100,108.00,70.67,30,26,37,67,22.00,74,51,104,38,98
83,Female,23.60,15,43,218,44,25,122,138.67,89.60,30,30,43,75,40.55,95,55,101,44,113
84,Female,20.87,18,24,180,27,13,69,96.00,36.00,19,22,36,59,18.33,80,53,73,27,95
85,Female,21.73,15,36,209,45,21,113,126.67,73.33,30,26,38,74,34.13,88,55,98,45,100
86,Female,21.63,16,36,169,25,22,84,118.67,56.00,28,25,33,65,19.67,89,49,98,25,88
87,Male,22.55,18,49,213,39,27,123,124.00,53.33,25,31,43,69,28.33,86,54,104,39,114
88,Male,22.59,16,,218,41,22,101,133.33,74.67,32,31,39,74,31.67,93,53,98,41,102
90,Female,20.51,,33,192,33,22,95,105.33,56.00,22,,36,67,24.67,84,50,,33,95
91,Female,21.88,24,35,188,34,21,95,117.33,61.33,27,26,35,69,26.00,72,54,85,34,93
92,Female,24.86,-6,51,220,49,23,131,152.20,89.27,31,32,44,76,38.68,88,51,119,49,117
93,Female,16.17,,,200,,,,,,27,28,37,66,26.67,,,,,101
94,Female,22.04,16,42,219,47,23,122,154.50,76.36,30,32,39,74,36.30,91,54,110,47,102
95,Male,23.29,13,35,206,35,23,100,155.77,90.00,30,25,36,72,38.40,82,56,125,35,95
96,Female,24.54,13,23,180,32,,65,121.33,46.67,,,,,,73,52,110,32,
97,Female,20.22,-16,37,210,42,25,118,125.33,74.67,29,27,37,73,32.00,82,54,95,42,98
98,Male,22.15,9,27,190,35,17,88,106.67,66.67,28,22,35,63,25.67,55,52,122,35,93
99,Male,23.88,21,17,158,31,14,76,117.33,69.33,30,21,30,64,28.00,79,50,104,31,84
100,Female,18.06,20,45,193,41,26,125,133.33,83.59,29,25,38,66,29.33,95,55,119,41,102
101,Male,24.33,18,21,184,33,19,89,108.00,29.33,0,21,27,48,20.33,74,52,101,33,79
102,Male,19.35,16,45,215,39,25,115,113.33,72.00,30,30,40,75,37.45,93,55,107,39,107
103,Male,20.90,19,53,212,43,25,120,118.67,52.00,29,31,42,73,27.33,90,55,107,43,112
104,Male,22.71,,,,,,,,,,,,,,,,,,
105,Female,18.07,16,45,196,40,21,106,82.67,57.33,29,27,37,68,35.71,82,55,85,40,99
106,Male,22.39,10,32,,42,16,97,121.33,69.33,31,29,35,69,24.00,,,,42,93
107,Male,24.75,,,,,,,,,,,,,,,,,,
