subject,cohort,age,wj3.watt.raw,wj3.wid.raw,wasi.matr.raw,wj3.rcomp.ss,wasi.vocab.raw
56,a197,18.54620123,29,76,24,126,49
1031,a182,19.58,29,76,25,125,50
132,a197,19.05270363,29,76,25,121,47
184,a197,21.59890486,29,76,26,118,40
113,a197,19.61943874,30,76,21,107,38
185,a197,20.43531828,30,76,22,119,43
1102,a182,23.75,30,76,23,107,43
152,a197,16.16974675,30,76,24,117,43
225,a197,18.45585216,30,76,25,126,53
131,a197,20.74195756,30,76,26,115,43
127,a197,20.52566735,30,76,27,115,46
1036,a182,21.75,30,76,27,136,39
1193,a182,19.33,30,76,29,132,53
207,a197,23.33470226,30,76,29,114,47
245,a197,24.02190281,31,76,19,117,45
28,a197,22.23408624,31,76,22,123,52
162,a197,22.72963723,31,76,22,114,44
92,a197,24.862423,31,76,23,117,49
125,a197,22.19028063,31,76,24,114,48
1093,a182,19.17,31,76,24,121,47
1129,a182,22.67,31,76,24,118,43
237,a197,17.90006845,31,76,25,108,42
133,a197,22.55715264,31,76,26,111,48
212,a197,18.98699521,32,76,23,121,50
27,a197,23.49897331,32,76,25,122,52
4002,a40,18.67,32,76,25,117,51
4034,a40,18.25,32,76,25,134,45
173,a197,24.13689254,32,76,26,117,50
143,a197,23.16769336,28,75,12,105,43
1018,a182,23.83,28,75,22,113,45
160,a197,23.38124572,28,75,24,114,44
146,a197,21.17727584,28,75,25,115,48
1186,a182,18.33,29,75,16,114,42
214,a197,20.60232717,29,75,24,115,43
1061,a182,22.92,29,75,26,118,42
4021,a40,18.17,30,75,14,114,46
147,a197,24.40520192,30,75,18,107,44
1011,a182,25.08,30,75,21,107,47
1152,a182,22,30,75,22,114,45
194,a197,20.6844627,30,75,22,100,41
1048,a182,21.58,30,75,23,103,40
256,a197,21.25941136,30,75,24,108,43
4039,a40,18.67,30,75,25,110,52
1012,a182,25,30,75,25,117,49
253,a197,23.1321013,30,75,25,117,47
83,a197,23.60301164,30,75,25,113,44
102,a197,19.35112936,30,75,25,107,39
1002,a182,18.92,30,75,28,121,50
239,a197,20.16427105,31,75,21,109,47
250,a197,18.91581109,31,75,21,113,47
247,a197,18.04517454,31,75,21,108,43
37,a197,21.9028063,31,75,21,97,38
14,a197,22.25598905,31,75,22,114,50
145,a197,23.15400411,31,75,22,129,40
4062,a40,15.08,31,75,23,119,43
1028,a182,22.33,31,75,23,114,41
188,a197,19.33470226,31,75,24,116,43
136,a197,23.12388775,31,75,25,122,50
182,a197,17.51129363,31,75,25,118,47
1147,a182,21.92,31,75,26,123,47
144,a197,24.97741273,31,75,26,110,45
1050,a182,19.67,31,75,27,116,44
238,a197,23.11293634,31,75,28,108,40
24,a197,24.41341547,32,75,20,95,39
1126,a182,23.5,32,75,22,135,51
3,a197,24.73374401,32,75,24,102,43
1157,a182,21.5,32,75,24,118,43
4038,a40,18.75,32,75,25,121,46
1118,a182,21.83,32,75,26,136,53
229,a197,18.93223819,32,75,26,117,48
4014,a40,18.08,32,75,26,127,44
255,a197,24.73100616,24,74,24,101,40
208,a197,23.49075975,26,74,21,110,46
118,a197,21.30595483,28,74,19,115,39
235,a197,20.90896646,28,74,20,103,41
128,a197,19.20054757,28,74,22,110,45
117,a197,21.98494182,28,74,23,111,50
221,a197,18.01779603,29,74,19,108,48
187,a197,24.44626968,29,74,23,104,44
121,a197,19.62765229,29,74,23,113,43
1,a197,21.28405202,29,74,25,134,47
52,a197,18.00410678,29,74,25,117,47
168,a197,24.14510609,30,74,15,104,40
1175,a182,20.83,30,74,16,103,44
226,a197,21.52772074,30,74,18,95,37
233,a197,21.46201232,30,74,20,105,37
85,a197,21.7303217,30,74,21,100,45
94,a197,22.03969884,30,74,23,102,47
4148,a40,17.42,30,74,24,99,37
165,a197,23.91786448,30,74,26,117,37
1205,a182,19.5,30,74,28,116,50
258,a197,22.29431896,31,74,21,111,44
178,a197,16.02737851,31,74,22,125,36
61,a197,22.22861054,31,74,24,108,43
1167,a182,21.92,31,74,24,108,41
11,a197,18.41752225,31,74,26,110,45
4081,a40,18.33,31,74,26,114,44
1016,a182,21.33,31,74,27,111,48
65,a197,22.02874743,32,74,12,105,40
50,a197,18.56810404,32,74,22,98,43
88,a197,22.58726899,32,74,22,102,41
186,a197,18.67488022,32,74,23,117,42
189,a197,22.91854894,32,74,25,129,47
1169,a182,22.67,32,74,25,129,47
31,a197,22.45037645,32,74,28,118,51
77,a197,24.06570842,24,73,20,95,38
46,a197,23.58110883,27,73,24,113,46
111,a197,23.53456537,28,73,17,105,47
137,a197,22.51060917,28,73,19,108,44
164,a197,17.03764545,28,73,23,103,43
4122,a40,15.33,28,73,23,118,38
1038,a182,20.58,28,73,23,112,37
1024,a182,24.25,29,73,21,117,43
19,a197,24.73374401,29,73,21,104,41
1201,a182,25.25,29,73,24,121,44
4001,a40,14.33,29,73,24,110,42
103,a197,20.89801506,29,73,25,112,43
97,a197,20.21902806,29,73,25,98,42
1013,a182,21.67,29,73,25,105,37
4142,a40,16.33,30,73,19,91,37
193,a197,22.78986995,30,73,22,97,39
129,a197,22.33812457,30,73,25,118,50
265,a197,18.83093771,30,73,25,74,43
161,a197,20.60506502,30,73,25,112,39
177,a197,24.19164956,31,73,18,95,41
150,a197,21.67008898,31,73,23,105,48
4024,a40,18.25,31,73,23,99,44
157,a197,18.4476386,31,73,24,117,41
172,a197,24.07118412,31,73,25,110,47
1185,a182,23.67,32,73,21,107,43
54,a197,23.54551677,32,73,21,105,37
218,a197,22.37645448,32,73,22,111,45
1179,a182,20.75,32,73,23,103,40
124,a197,20.36960986,32,73,23,119,39
4065,a40,15.25,32,73,23,112,35
1098,a182,18.92,32,73,24,107,38
1146,a182,22,32,73,25,105,45
223,a197,19.01437372,32,73,25,107,38
4163,a40,16.75,27,72,25,100,40
4068,a40,15.17,28,72,25,108,41
4128,a40,17.33,29,72,19,105,39
174,a197,20.04380561,29,72,21,109,40
1190,a182,18.17,29,72,25,102,41
79,a197,20.62970568,30,72,21,103,41
4174,a40,15.25,30,72,22,108,39
95,a197,23.2881588,30,72,23,95,35
1204,a182,17.42,30,72,24,111,44
4104,a40,14.42,30,72,25,107,43
122,a197,23.19780972,30,72,27,108,44
73,a197,21.97672827,31,72,18,100,37
126,a197,24.79123888,31,72,20,104,42
1044,a182,16.67,31,72,21,115,47
1094,a182,19.75,31,72,21,104,38
4143,a40,16.42,31,72,23,101,42
68,a197,22.75975359,31,72,23,100,36
123,a197,21.47296372,31,72,23,108,31
1010,a182,23.5,31,72,24,118,46
230,a197,22.6091718,31,72,24,95,39
4108,a40,15,32,72,23,103,43
167,a197,24.6899384,27,71,23,104,32
120,a197,21.5742642,28,71,20,95,37
4007,a40,16.67,28,71,21,112,40
2,a197,24.26283368,28,71,24,104,46
4093,a40,14.5,28,71,26,110,41
4161,a40,18.67,29,71,20,107,35
1165,a182,15.67,29,71,23,101,36
4162,a40,18.83,29,71,24,101,40
36,a197,16.97467488,30,71,17,90,39
4076,a40,18.33,30,71,18,118,37
130,a197,20.22450376,30,71,21,106,46
4003,a40,18.67,30,71,21,95,40
4010,a40,18.17,30,71,22,96,37
4071,a40,16.83,30,71,24,103,41
159,a197,21.04859685,30,71,24,106,40
4013,a40,14.92,30,71,24,115,39
220,a197,18.90759754,30,71,25,110,40
219,a197,22.01232033,30,71,25,100,38
4092,a40,17.67,31,71,10,102,39
1046,a182,24.58,31,71,23,117,44
1027,a182,22.17,31,71,24,108,43
1014,a182,21.17,31,71,25,115,43
4009,a40,16.33,31,71,25,110,42
183,a197,22.4476386,32,71,21,111,33
1127,a182,19,32,71,23,113,36
4084,a40,18.33,32,71,25,108,36
4040,a40,15.5,32,71,26,98,41
4060,a40,18.67,32,71,26,110,38
1133,a182,22,19,70,18,95,40
1180,a182,18.5,25,70,20,92,38
138,a197,20.33675565,27,70,25,98,38
21,a197,19.75085558,28,70,21,90,34
1128,a182,18.42,28,70,26,107,43
4107,a40,15.33,29,70,21,77,40
4156,a40,17.42,29,70,23,105,33
1209,a182,14.83,29,70,26,109,38
70,a197,24.88706366,30,70,19,90,36
41,a197,22.87748118,30,70,21,111,30
4056,a40,18.67,30,70,23,95,36
4121,a40,16.25,30,70,24,104,25
1029,a182,21.92,30,70,26,111,43
234,a197,20.1615332,31,70,15,116,36
1007,a182,22.92,31,70,22,102,38
112,a197,23.59753593,31,70,25,110,42
1097,a182,18.83,31,70,25,104,39
4158,a40,15.67,32,70,19,101,38
1187,a182,22.17,32,70,24,97,38
87,a197,22.54893908,25,69,27,114,39
4044,a40,17.42,26,69,23,111,40
4109,a40,16.58,26,69,24,109,45
91,a197,21.88364134,27,69,21,93,34
4082,a40,16.25,27,69,22,107,40
158,a197,20.69267625,27,69,23,103,37
