subject,cohort,age,wj3.watt.raw,wj3.wid.raw,wasi.matr.raw,wj3.rcomp.ss,wasi.vocab.raw,sspan.raw
220,a197,18.90759754,30,71,25,110,40,42
238,a197,23.11293634,31,75,28,108,40,49
255,a197,24.73100616,24,74,24,101,40,48
4003,a40,18.67,30,71,21,95,40,38
4007,a40,16.67,28,71,21,112,40,43
4037,a40,13.25,29,66,20,94,40,37
4044,a40,17.42,26,69,23,111,40,42
4082,a40,16.25,27,69,22,107,40,43
4107,a40,15.33,29,70,21,77,40,34
4119,a40,17.83,30,69,26,108,40,48
4162,a40,18.83,29,71,24,101,40,46
4163,a40,16.75,27,72,25,100,40,41
1022,a182,21.33,31,68,22,95,40,43
1048,a182,21.58,30,75,23,103,40,46
1106,a182,18.58,26,61,19,89,40,31
1133,a182,22,19,70,18,95,40,43
1179,a182,20.75,32,73,23,103,40,40
24,a197,24.41341547,32,75,20,95,39,44
36,a197,16.97467488,30,71,17,90,39,34
71,a197,23.40041068,28,67,18,107,39,45
87,a197,22.54893908,25,69,27,114,39,49
102,a197,19.35112936,30,75,25,107,39,45
118,a197,21.30595483,28,74,19,115,39,43
124,a197,20.36960986,32,73,23,119,39,43
148,a197,21.70568104,28,66,18,93,39,34
154,a197,16.6899384,27,63,16,91,39,31
161,a197,20.60506502,30,73,25,112,39,46
176,a197,22.95140315,29,67,22,97,39,37
193,a197,22.78986995,30,73,22,97,39,45
215,a197,22.31074606,24,68,18,79,39,28
230,a197,22.6091718,31,72,24,95,39,43
262,a197,19.25530459,26,65,20,98,39,52
4013,a40,14.92,30,71,24,115,39,39
4057,a40,18.17,30,68,20,96,39,42
4059,a40,18.75,29,69,25,98,39,49
4064,a40,15.42,27,68,24,105,39,48
4092,a40,17.67,31,71,10,102,39,51
4126,a40,18.25,31,67,17,83,39,30
4128,a40,17.33,29,72,19,105,39,40
4174,a40,15.25,30,72,22,108,39,46
1082,a182,14.67,30,69,19,105,39,20
1097,a182,18.83,31,70,25,104,39,44
1163,a182,22,26,67,21,108,39,51
1176,a182,21.75,28,66,21,98,39,41
1183,a182,16.67,30,67,24,115,39,27
34,a197,19.15674196,30,65,20,78,38,18
37,a197,21.9028063,31,75,21,97,38,33
77,a197,24.06570842,24,73,20,95,38,21
82,a197,19.1430527,30,67,20,98,38,39
113,a197,19.61943874,30,76,21,107,38,45
138,a197,20.33675565,27,70,25,98,38,29
169,a197,20.51471595,30,69,15,106,38,36
219,a197,22.01232033,30,71,25,100,38,55
223,a197,19.01437372,32,73,25,107,38,52
231,a197,16.82956879,28,68,20,100,38,47
249,a197,19.49897331,18,55,22,101,38,38
4016,a40,15.92,31,65,19,101,38,36
4060,a40,18.67,32,71,26,110,38,48
