subject,cohort,age,sspan.raw,ppvt.raw,wasi.matr.raw,wasi.iq,wj3.watt.raw,wj3.wid.raw,wj3.rcomp.raw,wj3.rcomp.ss,wasi.vocab.raw
98,a197,22.14647502,-0.107419766,-0.500386503,-1.088258315,-0.938962121,-0.064518831,-1.043615708,35,93,35
99,a197,23.88227242,-0.152899389,-2.15424612,-1.857469011,-1.594636777,0.445832372,-0.871392206,30,84,31
100,a197,18.05612594,-0.025556447,-0.345337164,1.219373774,1.082701404,0.190656771,-0.526945203,38,102,41
101,a197,24.32854209,-0.13470754,-0.810485181,-0.575451184,-0.884322566,-7.209435678,-3.626968234,27,79,33
102,a197,19.35112936,-0.025556447,0.791691322,0.962970209,0.536305857,0.445832372,1.023066313,40,107,39
103,a197,20.89801506,0.010827251,0.636641983,0.962970209,0.80950363,0.190656771,0.678619309,42,112,43
105,a197,18.06707734,-0.025556447,-0.190287825,-0.062644053,0.044549864,0.190656771,-0.182498199,37,99,40
108,a197,21.84257358,-0.125611615,-2.412661685,-0.319047618,-0.938962121,-0.574870034,-2.421403722,36,95,31
111,a197,23.53456537,-0.05284422,0.58495887,-1.088258315,0.263108083,-0.064518831,0.678619309,40,105,47
112,a197,23.59753593,-0.05284422,0.223177079,0.962970209,0.700224521,0.701007974,0.161948804,42,110,42
113,a197,19.61943874,-0.025556447,1.153473113,-0.062644053,-0.174008355,0.445832372,1.195289815,40,107,38
114,a197,19.36481862,-0.080131993,-0.086921599,0.193759513,-0.447206128,-0.064518831,-0.699168705,39,104,33
115,a197,22.12457221,-0.111967729,-3.601373284,-0.831854749,-1.157520339,-2.361099246,-2.938074227,29,79,31
117,a197,21.98494182,-0.043748296,1.205156226,0.450163078,1.574457396,-0.064518831,0.850842811,42,111,50
118,a197,21.30595483,-0.034652371,0.843374435,-0.575451184,-0.392566573,-0.064518831,0.850842811,43,115,39
119,a197,19.92060233,-0.121063653,-0.500386503,-0.319047618,-0.501845683,-0.574870034,-0.182498199,36,95,35
120,a197,21.5742642,-0.043748296,0.016444627,-0.319047618,-0.447206128,-0.064518831,0.334172306,36,95,37
121,a197,19.62765229,-0.057392182,0.636641983,0.450163078,0.590945411,0.190656771,0.850842811,42,113,43
122,a197,23.19780972,-0.025556447,0.481592644,1.47577734,1.465178287,0.445832372,0.506395808,41,108,44
123,a197,21.47296372,-0.034652371,0.533275757,0.450163078,-0.611124792,0.701007974,0.506395808,41,108,31
124,a197,20.36960986,-0.034652371,0.688325096,0.450163078,0.044549864,0.956183576,0.678619309,44,119,39
125,a197,22.19028063,-0.048296258,1.205156226,0.706566643,1.301259622,0.701007974,1.195289815,43,114,48
126,a197,24.79123888,-0.05284422,0.223177079,-0.319047618,-0.010089691,0.701007974,0.506395808,40,104,42
127,a197,20.52566735,-0.01191256,0.274860192,1.47577734,1.683736505,0.445832372,1.195289815,43,115,46
128,a197,19.20054757,-0.016460522,0.791691322,0.193759513,0.754864075,-0.064518831,0.850842811,41,110,45
130,a197,20.22450376,-0.057392182,0.171493966,-0.062644053,0.536305857,0.445832372,0.334172306,40,106,46
131,a197,20.74195756,0.015375213,0.843374435,1.219373774,1.082701404,0.445832372,1.195289815,43,115,43
132,a197,19.05270363,-0.061940144,0.946740661,0.962970209,1.683736505,0.190656771,1.195289815,44,121,47
133,a197,22.55715264,-0.025556447,0.843374435,1.219373774,1.793015615,0.701007974,1.195289815,42,111,48
134,a197,21.15537303,-0.016460522,0.326543305,-0.319047618,-0.1193688,-0.830045636,-0.182498199,39,103,41
136,a197,23.12388775,-0.030104409,1.153473113,0.962970209,1.956934279,0.701007974,1.023066313,45,122,50
137,a197,22.51060917,-0.048296258,0.533275757,-0.575451184,0.099189419,-0.064518831,0.678619309,41,108,44
138,a197,20.33675565,-0.098323842,0.223177079,0.962970209,0.317747638,-0.319694433,0.161948804,37,98,38
141,a197,17.07871321,-0.180187162,-0.603752729,-0.319047618,-0.447206128,0.445832372,-0.354721701,37,100,36
143,a197,23.16769336,-0.021008485,0.636641983,-2.370276142,-0.775043456,-0.064518831,1.023066313,40,105,43
144,a197,24.97741273,-0.05284422,0.791691322,1.219373774,1.082701404,0.701007974,1.023066313,42,110,45
145,a197,23.15400411,-0.030104409,0.895057548,0.193759513,-0.010089691,0.701007974,1.023066313,46,129,40
146,a197,21.17727584,0.0290191,0.895057548,0.962970209,1.519817841,-0.064518831,1.023066313,43,115,48
147,a197,24.40520192,-0.130159577,1.463571791,-0.831854749,-0.010089691,0.445832372,1.023066313,41,107,44
148,a197,21.70568104,-0.075584031,-0.44870339,-0.831854749,-0.501845683,-0.064518831,-0.526945203,35,93,39
150,a197,21.67008898,-0.030104409,0.481592644,0.450163078,1.137340958,0.701007974,0.678619309,40,105,48
152,a197,16.16974675,-0.025556447,1.050106887,0.706566643,1.028061849,0.445832372,1.195289815,42,117,43
153,a197,22.72142368,-0.01191256,0.326543305,-0.062644053,0.208468528,0.190656771,-0.010274698,42,111,43
154,a197,16.6899384,-0.089227918,-0.293654051,-1.34466188,-0.556485238,-0.319694433,-1.043615708,31,91,39
155,a197,20.37782341,-0.139255502,-5.92711337,-3.652293969,-2.742067426,-2.361099246,-2.076956718,35,92,28
157,a197,18.4476386,0.019923175,0.223177079,0.706566643,0.536305857,0.701007974,0.678619309,43,117,41
158,a197,20.69267625,-0.039200333,0.636641983,0.450163078,-0.1193688,-0.319694433,-0.010274698,39,103,37
159,a197,21.04859685,-0.061940144,0.119810853,0.706566643,0.263108083,0.445832372,0.334172306,40,106,40
160,a197,23.38124572,-0.05284422,0.429909531,0.706566643,0.700224521,-0.064518831,1.023066313,43,114,44
161,a197,20.60506502,-0.021008485,0.636641983,0.962970209,0.427026747,0.445832372,0.678619309,42,112,39
162,a197,22.72963723,-0.066488107,0.843374435,0.193759513,0.427026747,0.701007974,1.195289815,43,114,44
163,a197,21.65366188,-0.13470754,-1.585731877,-0.831854749,-0.665764347,-2.87145045,-1.732509715,36,95,37
164,a197,17.03764545,-0.043748296,0.429909531,0.450163078,0.590945411,-0.064518831,0.678619309,38,103,43
165,a197,23.91786448,-0.01191256,0.429909531,1.219373774,0.536305857,0.445832372,0.850842811,44,117,37
166,a197,24.14784394,-0.071036069,-2.050879894,-0.319047618,-0.829683011,-3.381801653,-2.24918022,34,91,32
167,a197,24.6899384,-0.111967729,1.463571791,0.450163078,-0.501845683,-0.319694433,0.334172306,40,104,32
168,a197,24.14510609,-0.098323842,-0.138604712,-1.601065445,-1.867834551,0.445832372,0.850842811,40,104,40
169,a197,20.51471595,-0.066488107,0.06812774,-1.601065445,-0.938962121,0.445832372,-0.010274698,40,106,38
171,a197,21.85352498,-0.089227918,-1.689098103,-1.601065445,-1.539997222,-1.34039684,-2.076956718,32,86,30
172,a197,24.07118412,-0.01191256,0.946740661,0.962970209,1.301259622,0.701007974,0.678619309,42,110,47
173,a197,24.13689254,-0.007364598,0.843374435,1.219373774,2.230132053,0.956183576,1.195289815,44,117,50
174,a197,20.04380561,-0.057392182,0.06812774,-0.062644053,-0.1193688,0.190656771,0.506395808,41,109,40
176,a197,22.95140315,-0.061940144,-0.603752729,0.193759513,-0.064729245,0.190656771,-0.354721701,37,97,39
177,a197,24.19164956,-0.057392182,0.429909531,-0.831854749,-0.337927019,0.701007974,0.678619309,36,95,41
178,a197,16.02737851,-0.061940144,0.636641983,0.193759513,-0.064729245,0.701007974,0.850842811,44,125,36
180,a197,18.95140315,-0.048296258,-1.689098103,-0.575451184,-0.829683011,-0.574870034,-1.560286213,33,86,33
181,a197,17.16906229,-0.043748296,-0.500386503,-2.370276142,-1.649276332,-0.574870034,-0.526945203,37,100,32
182,a197,17.51129363,0.001731327,0.946740661,0.962970209,-0.611124792,0.701007974,1.023066313,43,118,47
183,a197,22.4476386,-0.13470754,0.895057548,-0.062644053,-0.665764347,0.956183576,0.334172306,42,111,33
184,a197,21.59890486,0.015375213,1.153473113,1.219373774,0.754864075,0.190656771,1.195289815,44,118,40
185,a197,20.43531828,-0.039200333,0.58495887,0.193759513,0.317747638,0.445832372,1.195289815,44,119,43
186,a197,18.67488022,-0.048296258,0.533275757,0.450163078,0.481666302,0.956183576,0.850842811,43,117,42
187,a197,24.44626968,-0.030104409,0.58495887,0.450163078,0.536305857,0.190656771,0.850842811,40,104,44
188,a197,19.33470226,0.015375213,1.153473113,0.706566643,0.754864075,0.701007974,1.023066313,43,116,43
189,a197,22.91854894,-0.002816636,1.205156226,0.962970209,1.301259622,0.956183576,0.850842811,46,129,47
190,a197,21.61533196,-0.039200333,0.481592644,0.450163078,-0.337927019,0.445832372,-0.010274698,41,108,34
193,a197,22.78986995,-0.025556447,-0.035238486,0.193759513,0.044549864,0.445832372,0.678619309,37,97,39
194,a197,20.6844627,-0.01191256,0.533275757,0.193759513,0.099189419,0.445832372,1.023066313,38,100,41
195,a197,22.11362081,-0.075584031,-0.241970938,-0.062644053,-0.010089691,0.190656771,-0.010274698,38,100,41
201,a197,22.85010267,-0.139255502,-0.44870339,-1.34466188,-1.04824123,-0.830045636,-0.526945203,38,100,35
202,a197,22.83093771,-0.061940144,-1.223950086,-0.319047618,-0.556485238,-2.105923645,-1.904733217,29,80,36
203,a197,20.90349076,0.015375213,0.791691322,-0.319047618,0.099189419,0.190656771,-0.182498199,45,124,43
204,a197,22.17659138,-0.102871804,-0.655435842,-0.575451184,-0.720403902,-1.850748043,-1.388062711,36,95,35
205,a197,17.0513347,-0.166543275,-2.464344798,-3.395890403,-4.381254067,-2.361099246,-1.904733217,32,83,
207,a197,23.33470226,-0.021008485,1.050106887,1.988584471,2.230132053,0.445832372,1.195289815,43,114,47
208,a197,23.49075975,0.038115024,0.688325096,-0.062644053,0.536305857,-0.574870034,0.850842811,42,110,46
209,a197,22.40657084,-0.084679955,-0.138604712,0.193759513,-0.010089691,-0.319694433,-0.354721701,37,97,40
210,a197,24.06023272,-0.161995313,-2.67107725,-3.908697534,-2.632788316,-4.912855263,-4.143638739,26,77,27
212,a197,18.98699521,0.001731327,1.256839339,0.450163078,1.629096951,0.956183576,1.195289815,44,121,50
214,a197,20.60232717,0.010827251,0.688325096,0.706566643,0.590945411,0.190656771,1.023066313,43,115,43
215,a197,22.31074606,-0.102871804,-0.086921599,-0.831854749,-0.501845683,-1.085221238,-0.182498199,29,79,39
216,a197,16.93360712,-0.09377588,0.223177079,-0.319047618,-0.010089691,0.701007974,-0.010274698,35,93,40
217,a197,23.21423682,-0.107419766,-1.223950086,-1.088258315,-0.938962121,-0.830045636,-1.388062711,37,97,35
218,a197,22.37645448,0.001731327,0.895057548,0.193759513,0.536305857,0.956183576,0.678619309,42,111,45
219,a197,22.01232033,0.019923175,0.06812774,0.962970209,0.317747638,0.445832372,0.334172306,38,100,38
220,a197,18.90759754,-0.039200333,0.843374435,0.962970209,0.645584966,0.445832372,0.334172306,41,110,40
221,a197,18.01779603,-0.01191256,0.843374435,-0.575451184,1.028061849,0.190656771,0.850842811,40,108,48
223,a197,19.01437372,0.006279289,0.171493966,0.962970209,0.427026747,0.956183576,0.678619309,40,107,38
224,a197,21.87542779,-0.084679955,-4.324936867,-2.113872576,-1.703915886,-0.064518831,-1.21583921,29,79,31
225,a197,18.45585216,-0.025556447,0.791691322,0.962970209,2.011573834,0.445832372,1.195289815,45,126,53
226,a197,21.52772074,-0.030104409,-0.138604712,-0.831854749,-0.665764347,0.445832372,0.850842811,36,95,37
227,a197,22.90485969,-0.030104409,0.119810853,0.706566643,-0.611124792,-1.085221238,-0.182498199,40,105,29
228,a197,20.6954141,-0.075584031,-0.345337164,0.706566643,-0.501845683,0.190656771,-0.010274698,43,115,30
229,a197,18.93223819,0.033567062,1.308522452,1.219373774,2.230132053,0.956183576,1.023066313,43,117,48
230,a197,22.6091718,-0.034652371,-0.035238486,0.706566643,0.208468528,0.701007974,0.506395808,36,95,39
231,a197,16.82956879,-0.016460522,-0.293654051,-0.319047618,-0.228647909,-0.064518831,-0.182498199,37,100,38
232,a197,20.183436,-0.016460522,0.06812774,-0.062644053,-0.665764347,-0.064518831,-0.526945203,39,103,33
233,a197,21.46201232,-0.061940144,0.429909531,-0.319047618,-0.447206128,0.445832372,0.850842811,40,105,37
234,a197,20.1615332,-0.080131993,0.274860192,-1.601065445,-1.102880785,0.701007974,0.161948804,43,116,36
235,a197,20.90896646,-0.043748296,0.429909531,-0.319047618,-0.1193688,-0.064518831,0.850842811,39,103,41
236,a197,19.93155373,-0.098323842,-1.534048764,0.450163078,-0.337927019,-0.574870034,-0.182498199,35,92,33
237,a197,17.90006845,-0.016460522,0.740008209,0.962970209,0.864143185,0.701007974,1.195289815,40,108,42
238,a197,23.11293634,-0.007364598,0.636641983,1.732180905,1.246620068,0.701007974,1.023066313,41,108,40
239,a197,20.16427105,-0.01191256,0.998423774,-0.062644053,0.700224521,0.701007974,1.023066313,41,109,47
240,a197,20.96098563,-0.071036069,-2.722760363,-1.088258315,-1.485357668,-0.574870034,-0.354721701,30,80,28
241,a197,23.3045859,-0.021008485,0.326543305,-0.575451184,-0.665764347,0.190656771,-0.354721701,41,107,36
242,a197,20.07939767,-0.039200333,-3.549690171,-0.062644053,-0.665764347,0.445832372,-1.21583921,33,87,33
243,a197,18.64476386,-0.030104409,-0.190287825,0.706566643,0.153828974,-0.064518831,-0.182498199,40,107,37
244,a197,19.29637235,-0.157447351,-1.844147442,-2.113872576,-1.97711366,-2.87145045,-1.904733217,25,65,27
245,a197,24.02190281,-0.034652371,0.946740661,-0.575451184,0.208468528,0.701007974,1.195289815,44,117,45
247,a197,18.04517454,-0.030104409,0.481592644,-0.062644053,0.372387192,0.701007974,1.023066313,40,108,43
248,a197,23.52908966,-0.061940144,-0.241970938,-1.601065445,-1.102880785,-1.34039684,-1.560286213,35,93,36
249,a197,19.49897331,-0.057392182,0.326543305,0.193759513,-0.064729245,-2.616274848,-2.421403722,38,101,38
250,a197,18.91581109,-0.048296258,0.740008209,-0.062644053,1.082701404,0.701007974,1.023066313,42,113,47
251,a197,16.25462012,0.010827251,0.636641983,0.706566643,1.84765517,-0.064518831,-0.182498199,44,117,47
252,a197,24.21902806,-0.05284422,0.016444627,0.450163078,-0.228647909,-2.361099246,-0.699168705,35,93,36
253,a197,23.1321013,0.006279289,0.998423774,0.962970209,1.301259622,0.445832372,1.023066313,44,117,47
254,a197,24.45995893,-0.066488107,-0.500386503,-1.34466188,-1.212159894,-0.830045636,-1.904733217,34,92,33
255,a197,24.73100616,-0.01191256,0.791691322,0.706566643,0.263108083,-1.085221238,0.850842811,39,101,40
258,a197,22.29431896,-0.01191256,0.946740661,-0.062644053,0.317747638,0.701007974,0.850842811,42,111,44
261,a197,24.86516085,-0.121063653,0.326543305,-0.319047618,-0.611124792,0.190656771,-0.010274698,35,94,35
262,a197,19.25530459,0.006279289,0.274860192,-0.319047618,-0.174008355,-0.574870034,-0.699168705,37,98,39
263,a197,16.49555099,-0.089227918,-1.12058386,-0.831854749,-0.993601675,0.445832372,-1.043615708,38,103,31
264,a197,16.49555099,-0.084679955,-1.585731877,-0.062644053,-0.392566573,-1.085221238,-1.21583921,35,96,34
265,a197,18.83093771,-0.048296258,0.06812774,0.962970209,0.973422294,0.445832372,0.678619309,29,74,43
4001,a40,14.33,-0.007364598,0.636641983,0.706566643,1.082701404,0.190656771,0.678619309,39,110,42
4002,a40,18.67,0.015375213,1.153473113,0.962970209,1.683736505,0.956183576,1.195289815,43,117,51
4003,a40,18.67,-0.057392182,0.533275757,-0.062644053,-0.010089691,0.445832372,0.334172306,36,95,40
4004,a40,14.17,-0.084679955,0.636641983,-0.831854749,-0.447206128,-0.574870034,-0.526945203,40,114,34
4007,a40,16.67,-0.034652371,0.481592644,-0.062644053,0.044549864,-0.064518831,0.334172306,41,112,40
4009,a40,16.33,-0.089227918,0.274860192,0.962970209,0.91878274,0.701007974,0.334172306,40,110,42
4011,a40,18,-0.084679955,0.06812774,-0.831854749,-1.266799449,-0.064518831,-0.182498199,39,105,27
4012,a40,14.08,-0.09377588,-1.172266973,-0.831854749,-0.174008355,-2.616274848,-3.454744732,35,98,37
4013,a40,14.92,-0.05284422,0.895057548,0.706566643,0.645584966,0.445832372,0.334172306,41,115,39
4014,a40,18.08,-0.025556447,1.153473113,1.219373774,1.191980513,0.956183576,1.023066313,45,127,44
4016,a40,15.92,-0.066488107,-0.44870339,-0.575451184,-0.228647909,0.701007974,-0.699168705,37,101,38
4021,a40,18.17,-0.030104409,0.429909531,-1.857469011,-0.064729245,0.445832372,1.023066313,42,114,46
4022,a40,15.33,-0.066488107,-0.810485181,-1.601065445,-0.829683011,0.445832372,-0.182498199,37,101,35
4023,a40,13.92,-0.09377588,-0.862168294,-2.113872576,-1.04824123,-1.085221238,-0.871392206,35,98,35
4026,a40,17,-0.021008485,-0.810485181,-0.831854749,-0.884322566,-1.085221238,-1.388062711,30,77,32
4030,a40,16.92,-0.09377588,0.06812774,-0.575451184,-0.501845683,0.445832372,-0.010274698,38,103,37
4034,a40,18.25,0.0290191,0.740008209,0.962970209,1.028061849,0.956183576,1.195289815,46,134,45
4036,a40,17.33,-0.107419766,-1.12058386,-0.831854749,-0.884322566,-0.319694433,-1.388062711,31,80,33
4037,a40,13.25,-0.061940144,-0.345337164,-0.319047618,0.481666302,0.190656771,-0.526945203,33,94,40
4038,a40,18.75,0.010827251,0.998423774,0.962970209,1.191980513,0.956183576,1.023066313,44,121,46
4039,a40,18.67,0.024471138,0.791691322,0.962970209,1.683736505,0.445832372,1.023066313,41,110,52
4040,a40,15.5,-0.01191256,0.481592644,1.219373774,1.246620068,0.956183576,0.334172306,36,98,41
4041,a40,13.75,-0.01191256,0.429909531,1.219373774,1.519817841,0.701007974,-0.699168705,42,123,41
4042,a40,17.83,-0.007364598,-1.017217633,-1.857469011,-1.376078558,-0.319694433,-1.560286213,36,96,31
4044,a40,17.42,-0.039200333,-0.035238486,0.450163078,0.208468528,-0.574870034,-0.010274698,41,111,40
4045,a40,15.92,-0.09377588,-1.689098103,-1.601065445,-1.212159894,-0.319694433,-1.21583921,36,98,29
4048,a40,18.25,-0.075584031,-0.190287825,0.450163078,-0.064729245,0.445832372,-0.526945203,33,86,37
4050,a40,17.58,-0.043748296,-0.345337164,-0.319047618,-0.010089691,0.701007974,-0.182498199,37,99,41
4052,a40,19.67,-0.057392182,-0.603752729,0.193759513,-0.174008355,0.190656771,-0.526945203,37,98,37
4055,a40,17.5,-0.071036069,-1.068900747,-0.831854749,-1.04824123,-0.574870034,-1.043615708,33,86,30
4056,a40,18.67,-0.075584031,-1.068900747,0.450163078,-0.174008355,0.445832372,0.161948804,36,95,36
4057,a40,18.17,-0.039200333,0.326543305,-0.319047618,-0.174008355,0.445832372,-0.182498199,36,96,39
4059,a40,18.75,-0.007364598,0.481592644,0.962970209,0.427026747,0.190656771,-0.010274698,37,98,39
4060,a40,18.67,-0.01191256,0.533275757,1.219373774,0.645584966,0.956183576,0.334172306,41,110,38
4062,a40,15.08,0.006279289,0.688325096,0.450163078,0.91878274,0.701007974,1.023066313,42,119,43
4064,a40,15.42,-0.01191256,0.429909531,0.706566643,0.590945411,-0.319694433,-0.182498199,38,105,39
4065,a40,15.25,0.015375213,0.688325096,0.450163078,0.099189419,0.956183576,0.678619309,40,112,35
4068,a40,15.17,0.010827251,0.533275757,0.962970209,1.082701404,-0.064518831,0.506395808,39,108,41
4070,a40,17.25,-0.066488107,-1.275633199,-0.062644053,-0.938962121,-1.085221238,-0.526945203,32,83,27
4076,a40,18.33,-0.102871804,0.223177079,-0.831854749,-0.611124792,0.445832372,0.334172306,43,118,37
4078,a40,13.75,-0.071036069,-0.96553452,-1.857469011,-0.611124792,-0.064518831,-0.526945203,32,90,36
4081,a40,18.33,-0.01191256,0.843374435,1.219373774,1.191980513,0.701007974,0.850842811,42,114,44
4082,a40,16.25,-0.034652371,0.636641983,0.193759513,0.263108083,-0.319694433,-0.010274698,39,107,40
