"","sct_data.subject","sct_data.resid"
"1",1,-0.481792132034462
"2",2,-2.68562925766473
"3",3,-2.76238268256096
"4",11,-1.48849176304211
"5",12,3.95239753100696
"6",14,0.484832877022427
"7",15,-0.858536021876423
"8",17,4.51354896106777
"9",18,-2.17032713629651
"10",19,-0.40386984967695
"11",20,0.0189630810943859
"12",21,-3.13939660566098
"13",22,-1.92426050331924
"14",23,-1.01435077695174
"15",24,-4.73384428273156
"16",25,2.49034798992473
"17",27,0.242981270088365
"18",28,-1.48016122053496
"19",30,-4.9844557064894
"20",31,-0.117981405288822
"21",32,-1.04816065973258
"22",33,-5.97947820297828
"23",34,-5.50766963118396
"24",35,5.57364922881822
"25",36,-3.3545045459286
"26",37,-2.4578156254282
"27",39,3.41562565818451
"28",40,-0.0196116623000295
"29",41,5.04170524488837
"30",42,-3.09756702958748
"31",43,-1.38087213554158
"32",45,2.74446384254622
"33",46,0.72638854677237
"34",47,1.62501883667122
"35",50,-3.49210431362175
"36",51,1.65052365414559
"37",52,1.48420493693733
"38",54,0.660501572235079
"39",56,2.07330630784317
"40",61,0.483097694737214
"41",62,0.701837796843338
"42",65,0.847751582021518
"43",66,-0.970420420474989
"44",68,-1.19490348056003
"45",69,0.204306917165334
"46",70,-5.01864406541461
"47",71,2.63449772607008
"48",72,0.913287261941131
"49",73,-1.0570247562351
"50",75,0.619110554441581
"51",76,0.328351734147277
"52",77,-2.06986058042696
"53",78,-0.893404263724773
"54",79,-0.401809443240142
"55",80,-3.88370006572632
"56",81,2.80015430746843
"57",82,-0.434144882064656
"58",83,0.807915412522524
"59",84,4.82999796375338
"60",85,-2.74584041198145
"61",86,-1.85974007249726
"62",87,2.79017665534685
"63",90,-0.224023498631356
"64",91,-2.29622350402006
"65",92,0.0960362920425729
"66",94,-2.91925656106569
"67",95,-2.83233597613675
"68",97,-3.32593504480768
"69",98,-0.0546988242694808
"70",99,-3.70167662023583
"71",100,-0.920129290253201
"72",102,-0.649209050165262
"73",103,0.237769464859724
"74",105,-1.40616404172995
"75",106,-3.13818728472941
"76",108,3.47929286090958
"77",111,-0.724100256534263
"78",112,1.56111022344958
"79",113,-0.107299327873992
