"","Subj","ThreeCohortResid","A40Resid","Exps4.5Resid"
"1",4002,1.76508325421701,2.10375600050114,2.01208262693254
"2",4004,-0.786316059387851,-0.409616576490724,-0.246705464045195
"3",4007,0.24096767542445,0.605290911482793,0.650710142390307
"4",4009,0.69144517717851,0.878589906675253,0.77810616999093
"5",4010,0.060018546712678,0.0641730845978278,0.0208623101189216
"6",4012,-1.74209980791515,-2.14214316415319,-2.31423220623482
"7",4013,0.381221052835705,0.780405849294611,0.770064338671196
"8",4016,-0.437084571910683,-0.624759664943559,-0.572069424669527
"9",4021,0.552014414192351,1.09946797843726,1.45887085290941
"10",4022,-0.746917225546444,-0.546039376838245,-0.252678077102009
"11",4023,-1.17833928515167,-0.715408945989632,-0.379341052618891
"12",4024,0.847140288739183,1.00823129450667,0.958265063664799
"13",4026,-1.32526888149052,-1.58643282594443,-1.62251419253899
"14",4030,-0.26295540728626,-0.214975902989913,-0.126341748585091
"15",4034,1.27110766804355,1.58580297207621,1.51107197000483
"16",4036,-1.22503398128785,-1.69842316008131,-1.7384174299491
"17",4037,-0.131278701948645,0.220013388534186,0.339377953591013
"18",4038,1.28245136778561,1.47077864879848,1.35926849279622
"19",4039,1.76693308223188,2.16357113780493,2.04754846750645
"20",4040,0.687011557070946,0.887245353097566,0.778136749128403
"21",4048,-0.213832572191792,-0.621848939093444,-0.802193063135127
"22",4050,0.0679614684558756,-0.0686953729739693,-0.0621978763386356
"23",4051,NA,NA,NA
"24",4052,-0.296664515721507,-0.802957670495327,-0.995499532002678
"25",4055,-1.34594165057327,-1.66172027670092,-1.67250097041256
"26",4056,-0.0287487014033496,-0.191172698944304,-0.312050781900088
"27",4057,-0.1087736526315,-0.281813356154005,-0.298564695974716
"28",4059,0.276014505314633,0.0955258316358091,-0.133296768350643
"29",4060,0.414743928302961,0.187190206736265,-0.034545100373407
"30",4063,-0.694758565269459,-0.915508380969845,-1.12864376753019
"31",4064,0.154322721037416,0.443835421590457,0.351705531835611
"32",4065,0.130519457616234,0.485783209812226,0.548884385393643
"33",4068,0.665187538126361,1.24412872351952,1.19584442656759
"34",4070,-1.20577126989076,-1.21837972550595,-1.29335087980366
"35",4071,0.532641324413496,0.722077811756738,0.642673677300794
"36",4078,-0.866614361738873,-0.475874906074354,-0.127384772259712
"37",4081,1.11109546423924,1.29482507284788,1.13628293221882
"38",4082,0.167547903538094,0.475021599928292,0.454227797028621
"39",4084,0.185986573191627,-0.00996055374546133,-0.177463125310988
"40",4085,-1.11018775098701,-1.45604708427434,-1.46694796062647
"41",4090,-0.282243540017453,-0.692434546308545,-0.762088113737833
"42",4091,-0.361806556546121,-0.446699277443096,-0.491920851703639
"43",4092,-0.551055559743429,-0.341642569761884,0.132107666089263
"44",4114,-1.03935177119335,-1.25730718899373,-1.23496919555341
"45",4123,-0.159746399668321,-0.0910743028471487,-0.252150657531809
"46",4128,0.0963754526354642,0.412945408339407,0.539165032445137
"47",4132,-0.432738090904461,-0.432342417801434,-0.572571114472746
"48",4167,0.579195191232363,0.494118846406748,0.524777910229269
"49",4174,0.315333044744244,0.781380076689039,0.860604325948144
