subject,cohort,gender,age,hand,sspan.raw,ppvt.raw,wasi.vocab.raw,wasi.matr.raw,wasi.iq,wj3.watt.raw,wj3.wid.raw,wj3.rcomp.raw,wj3.oralcomp.raw,celf.rs.raw,celf.fs.raw,towre.w.ipm,towre.nw.ipm,wj3.rf.ipm
4012,a40,Male,14.08,10,30,177,37,18,102,18,49,35,28,80,50,109.3333333,46.66666667,19.33333333
4013,a40,Female,14.92,7,39,217,39,24,117,30,71,41,28,91,56,129.3333333,80.27681661,41.88679245
4014,a40,Female,18.08,20,45,222,44,26,127,32,75,45,31,81,56,146.9272428,80.45454545,46.49006623
4016,a40,Male,15.92,-4,36,191,38,19,101,31,65,37,27,80,54,110.6666667,57.33333333,32
4021,a40,Female,18.17,16,44,208,46,14,104,30,75,42,31,,,134.6666667,118.0645161,39.75460123
4022,a40,Female,15.33,12,36,184,35,15,90,30,68,37,24,82,49,108,82.32789212,31.90751445
4023,a40,Female,13.92,18,30,183,35,13,86,24,64,35,21,64,51,109.3333333,52,23
4024,a40,Female,18.25,-3,47,,44,23,116,31,73,37,29,95,53,155.6459817,95.21247983,27.66666667
4025,a40,Female,16.25,19,23,177,30,19,89,25,62,,,,,109.3333333,53.33333333,
4026,a40,Male,17,18,46,184,32,18,89,24,61,30,,,,94.66666667,61.33333333,19.66666667
4029,a40,Female,18.5,18,46,194,41,16,97,,,,,,,122.6666667,101.1428571,
4030,a40,Female,16.92,-13,30,201,37,19,96,30,69,38,29,75,56,147.1428571,77.33333333,31.33333333
4034,a40,Male,18.25,-24,57,214,45,25,124,32,76,46,32,96,56,113.3333333,85.90909091,42.53164557
4036,a40,Male,17.33,21,27,178,33,18,89,27,61,31,22,77,50,112,77.33333333,19.33333333
4037,a40,Male,13.25,16,37,193,40,20,114,29,66,33,24,83,53,90.66666667,76,26.66666667
4038,a40,Male,18.75,12,53,219,46,25,127,32,75,44,31,96,56,190.4180653,115.4204158,64.6875
4039,a40,Female,18.67,12,56,215,52,25,136,30,75,41,33,95,56,132,93.84615385,39.75460123
4040,a40,Female,15.5,-11,48,209,41,26,128,32,71,36,27,88,54,141.5286913,78.66666667,40
4041,a40,Female,13.75,2,48,208,41,26,133,31,65,42,31,91,53,133.3333333,84.38409311,44.80519481
4042,a40,Female,17.83,,49,180,31,14,80,27,60,36,22,79,54,110.6666667,61.33333333,19
4044,a40,Male,17.42,11,42,199,40,23,109,26,69,41,28,80,56,122.6666667,70.66666667,28.33333333
4045,a40,Male,15.92,-18,30,167,29,15,83,27,62,36,24,80,53,120,65.33333333,21.33333333
4047,a40,Male,16.83,14,,201,41,21,108,27,61,37,27,79,53,122.6666667,68,27.66666667
4048,a40,Male,18.25,-5,34,196,37,23,104,30,66,33,27,75,50,140.4545455,73.05080777,27
4050,a40,Female,17.58,16,41,193,41,20,105,31,68,37,27,91,55,124,69.33333333,32.66666667
4051,a40,Female,14.33,12,26,181,,,,32,68,35,22,69,49,110.6666667,73.33333333,22.66666667
4052,a40,Female,19.67,12,38,188,37,22,102,29,66,37,26,76,52,113.3333333,72,24
4055,a40,Female,17.5,20,35,179,30,18,86,26,63,33,26,64,49,134.6666667,86.60785886,25.66666667
4056,a40,Male,18.67,21,34,179,36,23,102,30,70,36,26,86,51,105.3333333,49.33333333,24
4057,a40,Female,18.17,18,42,206,39,20,102,30,68,36,24,79,52,114.6666667,60,30
4059,a40,Female,18.75,13,49,209,39,25,113,29,69,37,29,95,56,94.66666667,76,29.66666667
4060,a40,Female,18.67,11,48,210,38,26,117,32,71,41,31,90,55,116,78.66666667,44.12903226
4062,a40,Female,15.08,15,52,213,43,23,122,31,75,42,31,96,55,147.3885047,106.2394604,29
4063,a40,Female,18.25,-22,,188,35,22,100,23,63,33,24,73,49,124,62.66666667,19
4064,a40,Female,15.42,11,48,208,39,24,116,27,68,38,29,88,51,113.3333333,69.33333333,28.33333333
4065,a40,Male,15.25,20,54,213,35,23,107,32,73,40,30,91,56,117.3333333,90.73170732,25.33333333
4068,a40,Female,15.17,8,53,210,41,25,125,28,72,39,28,93,56,112,78.66666667,28
4070,a40,Male,17.25,15,36,175,27,21,88,24,66,32,23,73,47,120,65.33333333,20
4071,a40,Male,16.83,19,,198,41,24,115,30,71,38,28,81,56,124,73.33333333,23
4075,a40,Male,14.67,20,,194,32,20,98,26,67,33,,,,114.6666667,45.33333333,18.33333333
4076,a40,Female,18.33,20,28,204,37,18,94,30,71,43,30,75,56,129.3333333,76,23.33333333
4078,a40,Female,13.75,18,35,181,36,14,94,28,66,32,26,81,49,94.66666667,50.66666667,20.33333333
4081,a40,Female,18.33,2,48,216,44,26,127,31,74,42,31,93,56,138.6666667,85.67208272,27.66666667
4082,a40,Female,16.25,11,43,212,40,22,110,27,69,39,30,90,56,137.3333333,68,31
4083,a40,Female,15.33,20,,202,43,25,123,27,68,45,31,,,110.6666667,69.33333333,30.33333333
4084,a40,Female,18.33,13,39,208,36,25,109,32,71,40,28,78,53,125.3333333,77.86976952,27.33333333
4085,a40,Male,18.08,-4,34,184,32,18,89,27,64,36,28,90,51,82.66666667,52,19.66666667
4088,a40,Female,16.08,19,33,174,32,18,89,29,68,32,25,81,54,113.3333333,70.66666667,23
4090,a40,Male,18.67,22,,194,36,21,99,32,68,35,24,,,114.6666667,57.33333333,N/A
4091,a40,Male,16.17,-12,33,175,35,22,102,30,67,34,25,81,55,122.6666667,72,19
4092,a40,Male,17.67,12,51,206,39,10,84,31,71,38,27,91,55,125.3333333,76,20.66666667
4093,a40,Female,14.5,-15,46,206,41,26,129,28,71,39,30,93,54,125.3333333,97.15242881,26.66666667
4102,a40,Male,18.58,9,,,,21,59,31,65,32,,75,48,85.33333333,49.33333333,13
4104,a40,Male,14.42,13,50,199,43,25,132,30,72,38,30,88,56,134.6666667,90.46009878,32
4107,a40,Male,15.33,14,34,206,40,21,109,29,70,29,26,68,52,109.3333333,77.33333333,16
4108,a40,Female,15,14,43,205,43,23,121,32,72,38,27,79,53,117.3333333,78.66666667,21.66666667
4109,a40,Female,16.58,24,44,213,45,24,121,26,69,40,28,82,54,134.6666667,68.18181818,36.62337662
4110,a40,Female,16.67,17,,215,,23,62,31,74,40,30,77,56,110.6666667,73.33333333,29
4114,a40,Female,17.67,9,41,195,32,18,89,27,65,38,22,92,52,117.3333333,54.66666667,18.66666667
4119,a40,Male,17.83,22,48,200,40,26,120,30,69,40,31,96,55,122.6666667,72,28.33333333
4121,a40,Male,16.25,-2,49,212,25,24,95,30,70,38,27,91,56,113.3333333,53.33333333,23.66666667
4122,a40,Male,15.33,12,32,220,38,23,112,28,73,42,32,93,56,124,64,28.66666667
4123,a40,Male,16.25,22,36,196,37,24,110,26,66,32,25,67,50,108,65.33333333,22.33333333
4124,a40,Female,14.08,4,34,206,38,23,116,28,65,35,30,77,53,110.6666667,77.33333333,27.33333333
4125,a40,Male,18.33,10,21,175,33,19,91,29,66,30,24,79,54,117.3333333,62.66666667,19.66666667
4126,a40,Male,18.25,3,30,211,39,17,95,31,67,32,,,,136.576657,94.83488569,25
4128,a40,Female,17.33,12,40,205,39,19,99,29,72,39,26,88,56,146.513266,63.87410322,26.33333333
4130,a40,Male,15.83,-2,41,171,29,17,86,27,64,33,24,79,48,121.3333333,70.66666667,23.33333333
4131,a40,Male,18.25,15,,,,25,68,29,68,39,,,,124,83.72093023,32
4132,a40,Male,15.83,12,37,167,31,25,108,29,68,35,25,73,56,116,58.66666667,20.66666667
4134,a40,Male,16.08,-1,36,204,34,24,106,30,68,35,27,82,56,98.66666667,68,21
4142,a40,Male,16.33,11,39,216,37,19,98,30,73,34,28,83,53,112,77.33333333,19.33333333
4143,a40,Female,16.42,16,43,209,42,23,115,31,72,37,31,96,54,113.3333333,76,21.33333333
4144,a40,Female,13.75,17,51,207,,25,,30,72,41,30,94,54,100,62.66666667,23.66666667
4148,a40,Male,17.42,9,43,207,37,24,107,30,74,37,30,80,55,108,74.66666667,26.33333333
4151,a40,Female,15.25,16,28,172,33,13,84,28,63,32,23,72,47,105.3333333,64,24.33333333
4155,a40,Male,15.25,-9,,190,36,20,102,29,67,39,29,,,126.6666667,76,12.66666667
4156,a40,Male,17.42,13,40,203,33,23,99,29,70,39,29,83,52,105.3333333,74.66666667,22
4157,a40,Female,14.42,13,26,176,35,23,109,27,62,32,20,78,54,,,20.66666667
4158,a40,Female,15.67,14,46,201,38,19,102,32,70,37,28,87,52,128,85.54572271,32.69662921
4159,a40,Female,17.17,18,29,172,32,18,89,30,65,33,23,78,49,122.6666667,84,26.33333333
4161,a40,Male,18.67,18,42,201,35,20,96,29,71,40,29,92,54,114.6666667,72,21
4162,a40,Female,18.83,8,46,213,40,24,111,29,71,38,28,84,52,122.6666667,76,31.66666667
4163,a40,Male,16.75,12,41,205,40,25,118,27,72,37,28,88,55,126.6666667,84.6031385,22.66666667
4165,a40,Female,16.25,12,32,177,32,20,94,30,67,34,25,74,51,118.6666667,90.66922523,29
4167,a40,Female,18,-11,,196,48,19,121,31,68,38,27,89,52,124,68,22
4172,a40,Female,13.83,22,,,,17,,27,66,33,,,,,,22.66666667
4174,a40,Female,15.25,18,46,211,39,22,111,30,72,39,28,77,53,105.3333333,66.66666667,24.66666667
1000,a182,Female,16.08,,35,,,,,25,66,37,22,84,47,125.3333333,68,26.66666667
1001,a182,Female,15,,,,,,,28,69,37,29,,,,,22.33333333
1002,a182,Male,18.92,14,54,223,50,28,150,30,75,44,30,,54,137.3333333,77.33333333,37
1004,a182,Male,17.25,16,31,180,32,24,101,27,65,35,21,81,51,85.33333333,42.66666667,18.66666667
1005,a182,Male,17.83,19,33,202,41,25,117,28,60,35,27,79,49,133.3333333,66.66666667,27
1006,a182,Male,13.5,,,155,25,17,86,16,41,26,15,46,32,69.33333333,24,
1007,a182,Male,22.92,16,57,191,38,22,102,31,70,39,22,64,49,109.3333333,61.33333333,18
1010,a182,Male,23.5,17,43,214,46,24,119,31,72,44,29,92,48,117.3333333,82.66666667,36
1011,a182,Male,25.08,-5,53,219,47,21,113,30,75,41,27,76,56,116,78.66666667,32
1012,a182,Male,25,17,44,224,49,25,133,30,75,44,29,92,56,136,76,30.66666667
1013,a182,Female,21.67,20,41,192,37,25,109,29,73,40,29,88,46,133.3333333,76,30.33333333
1014,a182,Male,21.17,24,44,216,43,25,117,31,71,43,31,91,47,122.6666667,78.66666667,27.33333333
1016,a182,Female,21.33,19,43,214,48,27,137,31,74,42,28,87,56,138.6666667,78.66666667,32.66666667
1018,a182,Female,23.83,14,39,212,45,22,113,28,75,43,30,95,52,138.6666667,78.66666667,34.33333333
1020,a182,Male,18.08,10,31,191,34,20,95,22,61,34,21,68,51,121.3333333,48,17.66666667
1022,a182,Female,21.33,-8,43,200,40,22,104,31,68,36,28,88,55,136,66.66666667,24.66666667
1024,a182,Male,24.25,18,30,201,43,21,108,29,73,44,30,88,53,124,72,36
1027,a182,Female,22.17,10,,200,43,24,114,31,71,41,25,87,50,138.6666667,80,25.66666667
1028,a182,Male,22.33,22,46,219,41,23,108,31,75,43,28,91,53,138.6666667,82.66666667,36.66666667
1029,a182,Female,21.92,17,45,212,43,26,122,30,70,42,32,94,54,125.3333333,78.66666667,32.66666667
1031,a182,Female,19.58,19,42,223,50,25,136,29,76,45,29,93,56,134.6666667,81.33333333,43.33333333
1035,a182,Female,17.42,-24,31,183,38,24,106,28,64,39,25,83,46,116,62.66666667,19.66666667
1036,a182,Male,21.75,14,,221,39,27,120,30,76,47,31,93,53,138.6666667,81.33333333,28.66666667
1038,a182,Female,20.58,20,50,197,37,23,102,28,73,42,25,90,53,129.3333333,72,31.66666667
1040,a182,Female,23.08,-11,23,174,29,16,80,22,64,31,18,66,42,136,64,24
1044,a182,Female,16.67,,,213,47,21,122,31,72,42,32,,,109.3333333,76,34
1046,a182,Female,24.58,18,,214,44,23,113,31,71,44,30,81,55,118.6666667,74.66666667,32.66666667
1048,a182,Female,21.58,20,46,217,40,23,106,30,75,39,31,94,56,112,77.33333333,36
1050,a182,Female,19.67,15,59,216,44,27,131,31,75,43,33,94,56,138.6666667,80,36
1054,a182,Male,18.42,7,23,203,34,20,95,25,64,34,25,73,50,78.66666667,40,0
1058,a182,Male,17.58,19,,198,28,20,87,29,61,39,26,69,45,110.6666667,69.33333333,21
1059,a182,Male,15,15,14,167,23,15,76,25,60,30,18,40,37,97.33333333,38.66666667,13.66666667
1061,a182,Male,22.92,16,40,215,42,26,120,29,75,44,30,94,55,138.6666667,72,28
1068,a182,Male,17.75,11,,152,24,20,83,24,59,,,,,105.3333333,50.66666667,
1069,a182,Female,15.42,,,,31,19,92,24,63,,,,,92,57.33333333,
1074,a182,Female,24.08,18,38,218,,,,30,76,47,32,71,56,13.86666667,78.66666667,39
1082,a182,Female,14.67,7,20,195,39,19,106,30,69,38,25,76,51,102.6666667,72,21.33333333
1085,a182,Male,18.75,19,37,199,44,22,114,28,66,40,31,85,54,110.6666667,57.33333333,23.33333333
1087,a182,Male,16.5,20,42,159,34,16,89,24,63,34,22,75,45,88,36,15
1091,a182,Female,22.92,,,,41,18,99,25,68,40,26,,,118.6666667,49.33333333,25.33333333
1092,a182,Male,17.92,,40,199,38,21,102,22,66,40,27,,,120,61.33333333,23
1093,a182,Female,19.17,-12,49,223,47,24,122,31,76,44,32,96,56,128,80,31.66666667
1094,a182,Female,19.75,,35,204,38,21,102,31,72,39,27,89,55,137.3333333,82.66666667,39.33333333
1095,a182,Male,18.5,7,37,190,34,20,95,26,64,33,22,,48,93.33333333,61.33333333,19.33333333
1096,a182,Male,18.25,-2,37,159,30,18,86,28,61,34,23,70,44,122.6666667,73.33333333,19.33333333
1097,a182,Male,18.83,12,44,202,39,25,113,31,70,39,28,74,55,124,73.33333333,21.66666667
1098,a182,Male,18.92,-10,39,209,38,24,108,32,73,40,27,83,54,128,74.66666667,25.33333333
1099,a182,Male,17.5,,36,145,25,18,80,27,60,32,21,66,47,109.3333333,60,16
1100,a182,Female,18.08,,33,181,37,21,101,28,60,40,25,92,55,76,33.33333333,20.66666667
1102,a182,Female,23.75,17,,,43,23,111,30,76,41,30,,,138.6666667,77.33333333,43.33333333
1103,a182,Female,14.17,,,197,34,24,113,31,64,39,27,90,54,108,64,22
1104,a182,Female,17.58,,,173,30,17,84,24,60,36,25,,,109.3333333,56,20
1106,a182,Male,18.58,7,31,184,40,19,102,26,61,34,27,84,55,112,65.33333333,21
1108,a182,Female,16.25,-10,,214,42,25,123,30,68,44,33,95,55,100,77.33333333,31.33333333
1118,a182,Female,21.83,19,53,219,53,26,140,32,75,47,33,96,56,134.6666667,76,40.33333333
1119,a182,Male,19.08,,33,217,37,24,107,24,63,38,26,62,51,106.6666667,58.66666667,25.33333333
1120,a182,Male,22.25,16,35,187,31,20,89,31,68,38,28,86,54,125.3333333,60,24
1124,a182,Male,16.75,,,,34,26,114,19,63,36,29,,,108,48,23
1125,a182,Male,16.75,,,,33,22,102,22,60,35,27,,,94.66666667,46.66666667,16.33333333
1126,a182,Female,23.5,,52,220,51,22,128,32,75,47,33,94,56,138.6666667,84,38.66666667
1127,a182,Male,19,,47,216,36,23,102,32,71,42,30,83,52,108,72,24.33333333
1128,a182,Male,18.42,,,211,43,26,125,28,70,40,32,94,56,122.6666667,62.66666667,28.33333333
1129,a182,Male,22.67,15,40,215,43,24,114,31,76,44,32,84,54,62.66666667,52,24.33333333
1132,a182,Female,17.83,,,,34,16,88,22,62,,,68,,109.3333333,41.33333333,16.33333333
1133,a182,Female,22,,43,205,40,18,97,19,70,36,25,70,53,120,60,28.33333333
1140,a182,Male,20.33,,45,203,41,23,108,31,68,42,30,75,53,129.3333333,78.66666667,24.66666667
1146,a182,Female,22,23,43,211,45,25,121,32,73,40,30,77,56,129.3333333,78.66666667,30.33333333
1147,a182,Female,21.92,21,49,219,47,26,129,31,75,45,32,96,54,138.6666667,82.66666667,44
1150,a182,Female,20.67,-8,,210,40,21,102,27,68,37,31,,,98.66666667,69.33333333,35
1152,a182,Male,22,0,36,213,45,22,113,30,75,43,31,92,56,138.6666667,78.66666667,27.66666667
1154,a182,Male,20.67,21,31,197,33,18,89,18,55,33,27,69,56,86.66666667,18.66666667,19
1157,a182,Male,21.5,12,40,220,43,24,114,32,75,44,31,93,55,138.6666667,82.66666667,37
1160,a182,Male,20.42,18,51,201,37,26,113,22,62,36,27,90,52,62.66666667,42.66666667,12.66666667
1161,a182,Male,21.58,12,36,199,37,23,102,31,63,38,27,77,56,126.6666667,68,24.66666667
1163,a182,Female,22,24,51,193,39,21,102,26,67,41,30,92,54,118.6666667,64,29.33333333
1165,a182,Female,15.67,,,,36,23,107,29,71,37,26,,,121.3333333,62.66666667,24
1167,a182,Male,21.92,-4,57,215,41,24,110,31,74,41,31,95,55,125.3333333,84,33
1168,a182,Female,20.25,-1,23,,35,20,94,26,62,32,20,64,46,112,49.33333333,21
1169,a182,Female,22.67,15,50,223,47,25,125,32,74,46,33,96,56,126.6666667,84,41
1174,a182,Male,19.08,18,39,200,38,22,103,29,67,37,27,82,55,125.3333333,69.33333333,25.66666667
1175,a182,Female,20.83,21,,,44,16,101,30,74,39,29,87,54,124,78.66666667,25.66666667
1176,a182,Female,21.75,14,41,201,39,21,102,28,66,37,27,80,50,118.6666667,62.66666667,25.33333333
1178,a182,Male,22.67,,38,189,32,15,83,28,63,35,24,47,54,109.3333333,66.66666667,24.66666667
1179,a182,Female,20.75,23,40,202,40,23,106,32,73,39,31,94,56,101.3333333,82.66666667,24.33333333
1180,a182,Male,18.5,-16,34,202,38,20,100,25,70,35,31,88,46,122.6666667,76,23.66666667
1182,a182,Male,22.67,,,210,37,20,97,31,69,41,32,88,56,138.6666667,72,25.66666667
1183,a182,Male,16.67,,27,205,39,24,111,30,67,42,29,91,54,138.6666667,78.66666667,35
1185,a182,Male,23.67,9,40,214,43,21,108,32,73,41,31,77,54,137.3333333,74.66666667,31.33333333
1186,a182,Female,18.33,12,46,218,42,16,99,29,75,42,33,90,56,136,69.33333333,43.66666667
1187,a182,Female,22.17,18,,,38,24,106,32,70,37,30,54,56,114.6666667,62.66666667,26.66666667
1188,a182,Male,15.42,16,38,202,34,26,117,23,62,36,26,81,54,114.6666667,56,26.33333333
1189,a182,Male,21.5,0,46,195,38,18,94,31,68,38,23,80,54,133.3333333,80,31
1190,a182,Male,18.17,,32,209,41,25,117,29,72,38,29,77,54,105.3333333,58.66666667,24.66666667
1191,a182,Male,15.83,,,174,32,19,93,26,57,29,25,,,97.33333333,53.33333333,18
1193,a182,Male,19.33,,59,225,53,29,157,30,76,46,32,94,54,138.6666667,84,26.66666667
1197,a182,Female,15.75,19,,200,32,23,102,22,66,36,28,60,46,117.3333333,53.33333333,23.33333333
1198,a182,Female,21.75,,38,204,44,25,119,25,68,40,30,89,56,108,46.66666667,23.66666667
1199,a182,Female,15.92,,,196,36,22,105,24,63,33,,,,112,40,24.33333333
1201,a182,Male,25.25,,,214,44,24,114,29,73,45,29,,,118.6666667,68,25.33333333
1202,a182,Male,17.83,,,,40,25,115,23,66,,,,,97.33333333,42.66666667,18.33333333
1203,a182,Male,15.08,,,195,37,24,114,31,66,37,30,,,90.66666667,13.33333333,11
1204,a182,Female,17.42,,,,44,24,118,30,72,41,28,,,94.66666667,70.66666667,35.66666667
1205,a182,Male,19.5,,52,227,50,28,150,30,74,43,30,88,56,122.6666667,77.33333333,37
1206,a182,Female,15.42,,36,188,35,20,100,29,64,36,23,77,41,94.66666667,56,21.66666667
1209,a182,Female,14.83,,43,201,38,26,124,29,70,39,25,93,55,126.6666667,72,30
1210,a182,Female,16,,4160,169,32,18,89,22,60,33,24,84,52,97.33333333,57.33333333,26
1211,a182,Male,18.17,,,,38,21,102,24,66,,,,,120,54.66666667,30.66666667
