ID,KTEA_Raw
4002,89
4013,89
4014,90
4016,78
4021,80
4022,72
4024,89
4030,80
4034,86
4037,67
4038,86
4039,88
4040,83
4041,85
4059,83
4060,85
4062,85
4065,85
4068,85
4071,81
4076,78
4081,88
4092,78
4093,83
4104,90
4107,80
4108,75
4110,78
4121,78
4122,81
4124,69
4131,80
4134,76
4143,78
4144,83
4148,81
4155,75
4156,80
4158,80
4004,81
4007,86
4047,76
4064,80
4082,88
4083,71
4109,85
4119,75
4130,69
4161,75
4163,83
4009,67
4010,71
4036,63
4042,66
4045,53
4075,59
4078,55
4085,65
4114,64
4123,64
4126,73
4142,67
4157,42
4162,73
4048,64
4050,62
4051,45
4052,60
4056,67
4057,69
4084,65
4088,55
4090,69
4091,63
4102,57
4128,59
4132,63
4146,70
4151,62
4159,59
4165,61
4012,57
4023,60
4025,57
4026,73
4044,80
4055,44
