"","subject","cohort","wj3.rcomp.ss","age","wasi.vocab.raw","wj3.watt.raw","wj3.wid.raw","wasi.matr.raw","sspan.raw","Pred","stdPred","resid","CI_group"
"1",106,"a197",93,0.887061538779767,0.516417276605158,0.736608692114243,-0.0307341425334644,-1.38484163776471,-0.719504594630144,101.443181483353,-0.140222366248361,-8.44318148335413,"UPC"
"2",225,"a197",126,-0.508876891447545,2.30949477017585,0.456257622727479,1.20805008635564,0.965658194320875,0.601389718533818,119.338100510684,1.71913420305016,6.66189948931555,"NSC"
"3",1118,"a182",136,0.689148866965395,2.30949477017585,1.01695976150101,1.03108091080006,1.22682484233038,1.41424775740395,120.956536447799,1.88729643318188,15.0434635522011,"UGC"
"4",1193,"a182",132,-0.198501745294781,2.30949477017585,0.456257622727479,1.20805008635564,2.01032478635891,2.02389128655655,123.848031951281,2.18773485099673,8.15196804871915,"UGC"
"5",27,"a197",122,1.28173493915235,2.14648772530579,1.01695976150101,1.20805008635564,0.965658194320875,1.41424775740395,120.467872705912,1.83652223648013,1.53212729408808,"NSC"
"6",28,"a197",123,0.83262382630216,2.14648772530579,0.736608692114243,1.20805008635564,0.182158250292347,0.601389718533818,117.526519949229,1.53090344254153,5.47348005077054,"NSC"
"7",4039,"a40",110,-0.432841506931466,2.14648772530579,0.456257622727479,1.03108091080006,0.965658194320875,1.71906952198025,120.332530425958,1.82245961027029,-10.3325304259576,"UPC"
"8",31,"a197",118,0.909419881235113,1.98348068043573,1.01695976150101,0.854111735244469,1.7491581383494,1.00781873796888,118.985649425284,1.68251306830268,-0.985649425284332,"EAC"
"9",4002,"a40",117,-0.432841506931466,1.98348068043573,1.01695976150101,1.20805008635564,0.965658194320875,1.51585501226271,119.975598804404,1.78537292916752,-2.97559880440382,"NSC"
"10",1126,"a182",135,1.28209947595519,1.98348068043573,1.01695976150101,1.03108091080006,0.182158250292347,1.31264050254518,117.771940567428,1.55640366626378,17.2280594325721,"UGC"
"11",14,"a197",114,0.840400643384848,1.82047363556566,0.736608692114243,1.03108091080006,0.182158250292347,0.0933534442399866,114.537720572864,1.22035474733526,-0.537720572864471,"EAC"
"12",117,"a197",111,0.744162547520478,1.82047363556566,-0.104444516046049,0.854111735244469,0.443324898301856,0.194960699098753,114.337441378818,1.1995449054704,-3.33744137881847,"NSC"
"13",129,"a197",118,0.869563701231371,1.82047363556566,0.456257622727479,0.677142559688883,0.965658194320875,0.194960699098753,114.700428744117,1.23726080355353,3.29957125588268,"NSC"
"14",136,"a197",122,1.14855696835877,1.82047363556566,0.736608692114243,1.03108091080006,0.965658194320875,0.499782463675052,116.5801536754,1.43257204771823,5.41984632460011,"NSC"
"15",173,"a197",117,1.50823469718517,1.82047363556566,1.01695976150101,1.20805008635564,1.22682484233038,1.00781873796888,118.685108837161,1.65128565028449,-1.68510883716093,"NSC"
"16",212,"a197",121,-0.32028911003545,1.82047363556566,1.01695976150101,1.20805008635564,0.443324898301856,1.21103324768642,117.865897428968,1.56616617524575,3.13410257103166,"NSC"
"17",1002,"a182",121,-0.344076445705449,1.82047363556566,0.456257622727479,1.03108091080006,1.7491581383494,1.51585501226271,119.770633728813,1.7640762047065,1.22936627118743,"EAC"
"18",1031,"a182",125,-0.109736684068763,1.82047363556566,0.175906553340715,1.20805008635564,0.965658194320875,0.296567953957519,116.603561905336,1.43500426023852,8.39643809466369,"UGC"
"19",1205,"a182",116,-0.138141503661088,1.82047363556566,0.456257622727479,0.854111735244469,1.7491581383494,1.31264050254518,118.767165845987,1.65981171503975,-2.76716584598665,"NSC"
"20",56,"a197",126,-0.476797528526489,1.6574665906956,0.175906553340715,1.20805008635564,0.704491546311366,1.21103324768642,117.369335375354,1.51457131108111,8.63066462464608,"UGC"
"21",92,"a197",117,1.76584171999813,1.6574665906956,0.736608692114243,1.20805008635564,0.443324898301856,1.21103324768642,117.130765632491,1.48978292182094,-0.130765632490595,"EAC"
"22",1012,"a182",117,1.8146898433113,1.6574665906956,0.456257622727479,1.03108091080006,0.965658194320875,0.499782463675052,115.831597320405,1.35479392678767,1.16840267959512,"EAC"
"23",125,"a197",114,0.817070195687388,1.49445954582554,0.736608692114243,1.20805008635564,0.704491546311366,0.0933534442399866,114.57536011356,1.22426565227707,-0.575360113559821,"EAC"
"24",133,"a197",111,0.947331861406437,1.49445954582554,0.736608692114243,1.20805008635564,1.22682484233038,0.601389718533818,116.417558473073,1.41567772944156,-5.41755847307305,"NSC"
"25",146,"a197",115,0.457392466860992,1.49445954582554,-0.104444516046049,1.03108091080006,0.965658194320875,1.82067677683901,117.672844084574,1.54610712923517,-2.67284408457387,"NSC"
"26",150,"a197",105,0.632370821041335,1.49445954582554,0.736608692114243,0.677142559688883,0.443324898301856,0.499782463675052,113.215209417111,1.08294033368718,-8.21520941711117,"UPC"
"27",221,"a197",108,-0.664413208247074,1.49445954582554,0.175906553340715,0.854111735244469,-0.601341693736181,0.906211483110117,112.856573716,1.04567659162572,-4.85657371600046,"NSC"
"28",229,"a197",117,-0.339731150966867,1.49445954582554,1.01695976150101,1.03108091080006,1.22682484233038,1.92228403169778,118.566487394484,1.63896038866337,-1.56648739448418,"NSC"
"29",1016,"a182",111,0.51161874451336,1.49445954582554,0.736608692114243,0.854111735244469,1.48799149033989,0.398175208816285,115.219960227988,1.29124228712531,-4.21996022798789,"NSC"
"30",1,"a197",134,0.495304443481713,1.33145250095547,0.175906553340715,0.854111735244469,0.965658194320875,0.906211483110117,114.614120105015,1.22829297671637,19.385879894985,"UGC"
