"","SubjectID","composite2"
"1",1,1.15146052749565
"3",11,0.886200703217536
"4",12,-0.0189074499157308
"6",15,-1.62573438724388
"7",17,-0.749274402224888
"9",19,0.242596963466819
"11",21,-0.565270818209115
"13",25,-1.3102723885263
"14",31,1.6968372389069
"15",33,-1.31997035758795
"17",37,0.0772470999501072
"18",39,-1.74234949053338
"19",40,-1.66410474144227
"20",42,-1.48089051837755
"21",43,-0.900898879795356
"22",45,-1.62573438724388
"24",50,0.672357442572673
"25",51,-0.0318903403235751
"26",54,-0.00574061671096066
"27",61,0.672357442572673
"28",62,-0.171716050033096
"31",71,0.203627199373179
"32",73,-0.0893539031774527
"33",77,-0.397407505254551
"34",78,-2.33847801719137
"35",80,-1.68613842286478
"36",81,-1.2840232143034
"37",82,-0.541157005449282
"38",83,1.00666988961054
"39",84,-1.70872210390495
"40",85,0.658161116577582
"41",86,-2.06027821576999
"42",87,0.340406575928402
"43",88,0.757706739627335
"47",94,1.30961233675603
"48",95,-0.295592307561349
"50",98,-0.816616223158361
"51",99,-1.69483446742054
"52",100,-0.236997146506813
"53",102,0.437317406218159
"54",103,0.625641925951985
"57",108,-1.74112175503176
"59",110,-0.2071582345886
"60",112,0.20778034871674
"63",117,1.78769174616937
"64",121,0.625641925951985
"65",123,-0.460274533915364
"66",124,0.340406575928402
"67",130,0.502412669103586
"68",131,0.819509660851374
"69",133,1.23444824415671
"70",136,1.72838211567177
"72",142,0.376678775968782
"73",144,0.935243706184566
"74",146,1.2859115745384
"76",161,0.293691059307714
"77",162,0.902497377512442
"78",164,0.449857525323547
"79",165,-0.0480687746428605
"80",166,-1.59108481497465
"81",167,0.61194953452865
"83",170,-1.40248005282712
"84",171,-1.67295786255787
"85",172,1.25563303959374
"86",173,1.40042367747885
"88",177,0.283882092001411
"89",178,0.0447279093245101
"91",181,-1.06557937314156
"92",184,0.898504949061096
"93",185,0.580056195988588
"94",186,0.452590349356382
"95",189,1.53872859618617
"98",195,-0.178751999398217
"99",203,0.76926827286243
"100",207,1.36488637226262
"101",212,1.84839826754506
"102",214,0.672357442572673
"103",219,-0.233319951564844
"104",221,1.23444824415671
"105",229,1.74455271828837
"106",284,0.791617359274121
"107",293,-1.0913618444767
"108",305,0.49706847932752
"109",306,0.11934627574399
"110",307,1.30961233675603
"111",315,-0.244476780846024
"112",317,0.325584680127887
"113",320,-0.168878239662292
"114",321,0.686280556201362
"115",323,0.679544931706903
"117",325,0.957592792596256
"118",327,0.829019345971792
"119",329,-0.0853726689363449
"120",333,1.08729602587801
"121",338,-0.532262339940209
"122",341,0.459666492629849
"123",342,-0.456121384571803
"124",343,-0.316307668225911
"125",349,-0.267870599898934
"126",357,0.0363585590829223
"129",1002,1.78769174616937
"130",1003,0.120639482712111
"131",1004,-1.29378352059961
"132",1005,0.0510973763374927
"134",1007,-0.541157005449282
"136",1010,0.969188419878603
"138",1012,1.76541055088399
"139",1013,-0.596919178933621
"140",1014,0.819509660851374
"142",1016,1.13516385320074
"144",1018,0.791617359274121
"146",1020,-0.873107872093553
"150",1024,0.181618631740496
"151",1027,0.147067983406405
"152",1028,0.81168603678962
"153",1029,0.625641925951985
"155",1031,1.78769174616937
"156",1034,-0.417323535580616
"158",1036,0.757578398148966
"159",1037,0.366869808662479
"160",1038,-0.449274623279141
"163",1043,1.03293550561835
"166",1046,0.803212986556468
"168",1048,0.622009841249858
"170",1050,0.902497377512442
"173",1054,-0.493439930829228
"174",1055,-1.12112882303834
"176",1057,-1.46233091104383
"177",1058,-1.16421298553023
"178",1059,-2.25387187918534
"179",1061,0.686280556201362
"186",1068,-2.33039697742389
"191",1073,1.40042367747885
"194",1076,-0.961144492531062
"197",1082,-0.344727432720353
"198",1083,0.542654209290917
"199",1085,0.19638987936142
"200",1087,-1.43565949783613
"206",1095,-0.899603939819429
"208",1097,-0.114878056984643
"213",1106,-0.546205909225723
"216",1113,-1.37009197302154
"220",1118,1.80753863672243
"222",1120,-1.22383590887773
"228",1129,0.76926827286243
"234",1142,-0.344727432720353
"237",1146,0.746031629310724
"238",1147,1.30961233675603
"244",1154,-0.781225489923413
"246",1157,1.03293550561835
"247",1160,-0.316307668225911
"248",1161,-0.384524137266055
"249",1163,-0.402972579828949
"252",1168,-1.04482037061641
"253",1169,1.53872859618617
"254",1174,-0.267870599898934
"256",1176,-0.150332234903776
"258",1179,-0.0318903403235751
"262",1184,-0.535532316841435
"263",1185,0.7202252698954
"264",1186,0.840694456288403
"266",1188,-0.529816640289982
"271",1197,-0.765796899865341
"276",4002,1.81136983233284
"277",4004,-0.121247523997626
"278",4007,0.243222533272243
"281",4013,0.53902212458879
"283",4021,0.69882067530675
"284",4022,-0.961144492531062
"285",4023,-0.98296421841114
"286",4026,-1.21010764251427
"288",4036,-1.24916615813693
"289",4038,1.22662462009496
"290",4039,1.51615772281204
"292",4041,0.283882092001411
"295",4047,0.0156431984183599
"297",4050,-0.236997146506813
"298",4051,-1.35673930099127
"299",4055,-1.47922200768582
"300",4057,0.0363585590829223
"301",4059,0.160234816611175
"302",4060,0.120639482712111
"303",4062,0.672357442572673
"305",4070,-1.80060766242113
"306",4071,-0.0853726689363449
"307",4078,-0.941800717685932
"309",4084,-0.131056491303928
"311",4090,-0.623202523071931
"314",4114,-0.925641449347828
"316",4123,-0.480395221915619
"317",4132,-1.5899701458968
"318",4151,-1.35164545101415
