"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","Pred","stdPred","resid","CI_group"
"44","64",18.59,-6.233914591,124,-1.435236998,77.33,-0.665955136,62,-1.350555732,24,-1.41322975,205,-1.114725156,17,0.294292934,73.49056604,-1.165024264,36,-0.755508785,-1.216244404,-1.408198244,-1.13712638035669,-1.27197826110112,-0.0278978836433114,"EPC"
"45","65",22.06,-1.983914591,126.67,-0.715212799,76,-0.949487599,74,-1.350555732,32,-1.063496366,204,-1.957597081,12,-0.252693548,80.49056604,-1.780358445,40,-0.755508785,-1.019688124,-1.180620458,-1.56288108503357,-1.74822323989774,-0.217477359966426,"EPC"
"47","68",22.82,3.436085409,141.82,0.797216126,90,0.739269791,72,1.663562087,31,1.567141763,208,1.271509916,23,1.578007153,80.52830189,1.758364907,38,1.678754225,1.191797442,1.379892938,1.21266260021478,1.35647232543576,0.545702306785223,"UGC"
"48","69",20.32,4.346085409,114.67,1.979611454,54.67,1.705844336,68,1.663562087,28,0.682542295,204,1.448440159,19,1.578007153,77.49056604,1.202557614,36,2.528413821,1.507890043,1.745872872,1.24680641518778,1.39466525732642,-0.0442488011877741,"EAC"
"49","70",24.9,2.126085409,125.33,-1.579457899,81.33,-2.276108396,70,-1.780035514,30,-0.610761311,193,-1.933620433,19,-0.252693548,76.01886792,-1.575011252,33,-0.317608215,-1.56159078,-1.808048931,-1.62749725442863,-1.82050224441707,0.0524860024286306,"EPC"
"50","71",23.43,-5.063914591,162.2,-0.858893547,76,0.248971844,67,0.1561256,28,0.682542295,210,-0.253507611,18,-0.503071129,80.05660377,0.459468012,41,0.14476127,0.057186548,0.066212018,-0.422412032961686,-0.472505899476611,0.881880044961686,"UGC"
"51","73",22,-2.483914591,116,0.221412828,77.33,0.090023366,72,0.965801985,31,-0.610761311,207,0.935398336,18,0.904086171,80.56603774,0.234823476,38,0.63160695,0.166619217,0.192915904,0.702936842405226,0.786298161642702,-0.468113366405225,"UPC"
"52","75",18.29,-0.983914591,109.33,-0.426770997,56,-0.593468235,66,-0.368379615,30,-0.035776103,195,-0.006129261,21,0.294292934,73.01886792,0.459468012,35,0.63160695,-0.356098738,-0.41230004,-0.0619246381595297,-0.0692682844647123,0.52139265015953,"UGC"
"53","76",18.16,-3.233914591,116,-1.651298273,79.43,-1.667262168,63,-0.828317379,32,-1.063496366,154,-1.777075657,16,-1.163993086,57.88679245,-1.780358445,32,-0.755508785,-1.302593547,-1.508175445,-1.66786236657966,-1.86565425746431,-0.112496078420338,"EPC"
"54","77",24.07,3.186085409,118.67,0.005351553,68,-1.018965338,73,-0.026231123,24,-0.851164447,196,-0.193398456,20,-0.738283726,81.77358491,1.202557614,36,0.63160695,-0.472752339,-0.547364503,-0.229246226374527,-0.256432549137123,1.43180384037453,"UGC"
"55","78",19.8,-1.813914591,88,0.077191927,48,-0.371433657,61,-0.368379615,28,-1.41322975,151,-0.006129261,16,0.013034742,57.49056604,-0.810460226,30,0.63160695,-0.518962774,-0.600868102,-0.187566002733148,-0.209809465454721,-0.622894223266853,"UPC"
"57","80",20.66,0.016085409,106.67,1.013277401,53.33,0.907436919,55,0.750905434,16,1.102549013,166,0.330096252,16,0.013034742,58.22641509,0.459468012,29,0.385124145,0.943542192,1.09245679,0.484510063950879,0.541968139376592,-0.0250420519508769,"EAC"
"59","83",23.83,-1.483914591,138.67,0.221412828,89.6,0.329039454,75,-1.10178426,30,-0.035776103,218,-1.777075657,25,-0.738283726,87.71698113,-0.968182764,43,-0.755508785,-0.14677702,-0.169942112,-1.28442189784887,-1.4367415622093,0.316239133848873,"EPC"
"62","86",21.64,-2.233914591,118.67,-0.499151524,56,-0.44592234,65,-1.229160995,28,-0.339824306,169,-2.109863563,22,-0.738283726,70.16981132,-0.810460226,33,-1.16894812,-0.628514791,-0.727710173,-1.63094054191614,-1.82435387155933,0.820480315916136,"EPC"
"64","88",22.61,-1.773914591,133.33,0.581154851,74.67,0.491533654,74,0.5444753,32,0.682542295,218,0.330096252,22,-0.738283726,84.75471698,0.234823476,39,1.40778337,0.574926525,0.665664335,0.181921703047235,0.203495807915156,0.0529017729527662,"EAC"
"65","89",17.37,4.016085409,110.67,1.434056735,61.33,0.573339531,60,1.663562087,27,0.682542295,180,0.698266199,14,0.591254207,66,0.943056631,36,0.884210536,1.088375162,1.260148032,0.948672039271568,1.06117510917993,-0.00561540827156529,"EAC"
"67","91",21.92,-2.153914591,117.33,-0.967464338,61.33,-0.415757535,69,-1.229160995,27,-1.063496366,188,-1.316357789,21,-0.958524173,76.22641509,-1.092082561,35,-0.317608215,-0.918969809,-1.064006269,-1.25076658381635,-1.39909506261283,0.158684022816351,"EPC"
"69","93",16.17,-3.483914591,113.43,-1.003114448,67.91,0.573339531,66,-0.026231123,27,0.682542295,200,1.10054546,24,1.232951274,77.50943396,1.614725431,37,1.678754225,0.056634064,0.065572338,0.81082152710929,0.906976897109314,0.80390390389071,"UGC"
"71","95",23.31,-1.563914591,155.77,-0.210709722,90,0.16949459,72,-1.229160995,30,-1.41322975,206,-0.794952093,23,-0.738283726,81.22641509,-0.762545288,36,-0.755508785,-0.670901469,-0.77678653,-0.823476489920175,-0.921132612703965,0.0609312019201741,"EAC"
