"","X","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","rc.comp","Pred","stdPred","resid","CI_group"
"175",175,"163",21.66,-0.233914591,112,0.221412828,41.33,0.573339531,59,1.189390714,17,0.682542295,169,2.322553263,18,2.317299631,69.64150943,1.614725431,36,1.40778337,0.666671342,0.771888783,-0.477366216567477,0.789338471364776,2.02430420225358,-1.26670468793225,"UPC"
"177",177,"165",23.93,-4.903914591,125.33,0.437474103,93.85,0.248971844,74,0.346288694,30,0.304076256,208,0.124662443,26,1.578007153,87.05660377,0.459468012,44,0.385124145,0.334202724,0.386948288,1.59453498273399,0.226062624540142,0.580137079200997,1.36847235819385,"UGC"
"178",178,"166",24.15,-0.083914591,116,0.221412828,34.67,-0.295729157,56,1.189390714,15,0.304076256,160,0.935398336,20,0.591254207,61.24528302,0.862353887,34,1.142935739,0.35478766,0.410782042,-1.05220679849711,0.266748463671747,0.684450359415128,-1.31895526216886,"UPC"
"179",179,"167",24.69,-3.733914591,110.67,-1.147335349,64,-0.593468235,71,-1.229160995,27,-1.41322975,228,-1.462865546,23,-0.738283726,85.18867925,-1.322627727,40,-0.96528561,-1.095798582,-1.268743054,0.911078874687286,-0.280788677475387,-0.719364738200928,1.19186755216267,"UGC"
"181",181,"169",20.55,1.796085409,117.33,-0.570991898,74.67,-0.665955136,69,0.750905434,30,1.102549013,201,0.775922446,15,0.591254207,78.05660377,0.912055666,40,0.884210536,0.154126853,0.178451932,0.460239840857747,0.26058120087735,0.668638287555307,0.199658639980397,"EAC"
"183",183,"170",16.03,0.686085409,113.33,1.7586888,70.67,0.573339531,69,0.965801985,29,1.567141763,174,1.017253918,18,0.591254207,55,1.474234252,32,1.678754225,1.21624302,1.408196641,-1.47283682815369,0.321339401202628,0.82441453086532,-1.79417622935632,"UPC"
"184",184,"171",21.86,2.476085409,85.33,0.653535379,74.67,0.656333036,57,1.663562087,23,1.102549013,167,1.917861794,15,0.904086171,58,1.526882142,32,1.40778337,1.018994879,1.179817801,-1.38084521964007,0.525167618024623,1.34700397109105,-1.90601283766469,"UPC"
"187",187,"175",19.24,-0.513914591,124,1.995275897,76,2.092372652,70,1.189390714,29,-0.035776103,203,1.185291298,24,0.294292934,79.03773585,0.874145527,37,0.884210536,1.31031579,1.517116451,0.137392925879133,0.246776439466127,0.633244647504767,-0.109383513586994,"EAC"
"189",189,"177",24.19,0.506085409,133.33,-1.003114448,68,0.410299723,73,0.5444753,31,0.682542295,208,0.260363295,18,0.013034742,80.20754717,0.459468012,36,0.63160695,0.158550718,0.183573993,0.0874538564160807,0.116787986426997,0.29997090371859,-0.0293341300109166,"EAC"
"190",190,"178",16.04,1.076085409,106.67,1.085657929,65.33,0.491533654,74,1.663562087,31,0.682542295,212,1.271509916,22,1.578007153,84.83018868,1.227663005,44,1.40778337,0.980823991,1.135622591,1.43882269581449,0.393729441371657,1.01001332164947,1.04509325444283,"UGC"
