"","X","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","rc.comp","Pred","stdPred","resid","CI_group"
"2",2,"100",18.07,-2.983914591,133.33,-1.291016097,83.59,-1.154657797,66,-1.229160995,29,-1.41322975,193,-0.694976298,26,0.294292934,75.77358491,-0.728042869,38,-0.539616645,-1.27201616,-1.47277218,0.075160057099687,-0.795778853194607,-0.887394723943105,0.0677359841946024,"EAC"
"4",4,"1002",18.92,1.976085409,137.33,1.013277401,77.33,0.853660502,75,0.965801985,30,0.682542295,223,0.547028348,28,0.591254207,90,0.817785013,44,0.63160695,0.878820546,1.017520447,1.8127874915229,0.762990818949052,0.843660317366253,0.0547941940509518,"EAC"
"5",5,"1004",17.25,3.616085409,85.33,0.221412828,42.67,0.329039454,65,1.663562087,27,0.304076256,180,0.330096252,24,0.013034742,78,1.614725431,35,0.385124145,0.629522656,0.728877104,-0.160752746374381,0.572300077769251,0.631893194391402,1.04242535323075,"UGC"
"6",6,"1005",17.83,1.206085409,133.33,2.021743403,66.67,0.47377203,60,0.965801985,28,-0.035776103,202,1.10054546,25,1.232951274,78,0.57602551,35,0.63160695,0.856385329,0.99154439,-0.160752746374381,1.10429329258864,1.22268576170446,-0.528267782588642,"UPC"
"7",7,"1006",13.5,0.366085409,69.33,0.797216126,24,1.866810698,41,0.965801985,16,1.567141763,155,-0.132142974,17,-1.354899639,28,0.57602551,26,0.385124145,1.299242643,1.504295684,-2.51769308501348,0.102337114197617,0.109986865407869,0.473688395802383,"UGC"
"10",10,"1010",23.5,3.276085409,117.33,1.358435288,82.67,0.410299723,72,1.421900249,31,0.682542295,214,1.271509916,24,1.232951274,88,1.202557614,44,0.884210536,0.968294389,1.121115504,1.66293243900402,1.22330715987233,1.35485381618285,-0.0207495458723268,"EAC"
"11",11,"1011",25.08,2.006085409,116,0.077191927,78.67,0.011751027,75,0.346288694,30,-0.339824306,219,-0.006129261,21,0.591254207,88,1.202557614,41,0.385124145,0.023851836,0.027616253,1.2438786960707,0.245805982191813,0.269312846436714,0.956751631808187,"UGC"
"12",12,"1012",25,0.496085409,136,0.221412828,76,-0.44592234,75,-0.968234398,30,-0.339824306,224,-1.597090709,25,-1.354899639,90,-1.38696219,44,-0.96528561,-0.383142054,-0.44361147,1.8127874915229,-1.26629202152913,-1.40991206990084,-0.120670168470868,"EPC"
"14",14,"1014",21.17,2.626085409,122.67,1.255806183,78.67,1.184803967,71,0.5444753,31,0.682542295,216,1.185291298,25,0.013034742,91,0.57602551,43,0.884210536,0.916906936,1.061617824,1.74731016741012,1.06797000974257,1.18234779323402,-0.491944499742572,"UPC"
"15",15,"1016",21.33,-2.483914591,138.67,0.293253202,78.67,-0.371433657,74,-0.681836275,31,0.304076256,214,0.473411677,27,0.294292934,83,-1.043557637,42,0.14476127,-0.113985119,-0.131974826,1.03411246251172,0.250162424830593,0.274150791469136,-1.2937200618306,"UPC"
"18",18,"102",19.4,-0.733914591,113.33,-0.570991898,72,0.248971844,75,0.5444753,30,1.567141763,215,1.271509916,25,0.591254207,85.98113208,0.943056631,40,1.142935739,0.447399252,0.518010064,0.966044419634635,0.997966066972445,1.1046065590996,-0.0549094359724447,"EAC"
"20",20,"1022",21.33,1.226085409,136,0.077191927,66.67,0.573339531,68,1.189390714,31,0.304076256,200,0.058661198,22,0.013034742,84,0.234823476,36,0.385124145,0.535999607,0.620593774,0.329870696136734,0.276593975850552,0.303503729533296,-0.0417704998505524,"EAC"
"23",23,"1028",22.33,-0.573914591,138.67,1.434056735,82.67,0.47377203,75,0.1561256,31,-0.035776103,219,-0.069725257,23,-1.163993086,89,0.817785013,43,0.385124145,0.507044566,0.587068902,1.59411581654555,-0.0981509914528024,-0.112660490523454,0.915936004452802,"UGC"
