"","X","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","rc.comp","Pred","stdPred","resid","CI_group"
"41",41,"106",22.65,-0.093914591,121.33,1.549109364,69.33,1.342272337,69,1.663562087,31,0.682542295,193,1.820803717,16,0.013034742,73.75471698,1.393505539,35,0.63160695,1.309371521,1.516023153,-0.393092077072686,1.29642048321315,1.58713484296348,-0.664813533213156,"UPC"
"42",42,"1061",22.92,1.286085409,138.67,0.077191927,72,-0.371433657,75,0.1561256,29,-0.339824306,215,0.547028348,26,0.294292934,46,0.021240794,44,0.385124145,-0.119485109,-0.138342853,-0.19294402120154,0.31032543541035,0.381929727408705,0.0747987095896509,"EAC"
"43",43,"1064",21.5,0.206085409,121.33,0.437474103,62.67,0.656333036,61,1.421900249,25,1.102549013,189,0.19189094,21,1.939406956,86,0.943056631,35,0.63160695,0.9045641,1.047326979,0.349645101968375,0.654286073090179,0.802318330926074,-0.0226791230901794,"EAC"
"47",47,"1073",23.17,0.846085409,133.33,0.221412828,80,-0.44592234,76,0.346288694,32,-0.610761311,216,0.058661198,26,0.294292934,90,-0.081489395,44,0.14476127,-0.122245532,-0.14153894,1.8127874915229,0.0538121019078888,0.0684191967210009,0.0909491680921115,"EAC"
"48",48,"1074",24.08,1.816085409,155.22,-1.074954822,94.91,-2.463626105,76,-1.963638924,30,-2.187652688,218,-1.02798239,26,-2.207588062,86,-1.113937277,47,-0.539616645,-1.922468135,-2.225881774,1.96776849086524,-1.3772280552507,-1.6805977178399,0.837611410250699,"EPC"
"49",49,"108",21.86,-4.983914591,89.33,-1.074954822,21.33,0.853660502,55,-0.968234398,26,-0.851164447,153,-0.794952093,20,-0.252693548,55.86792453,-0.498619417,36,-0.539616645,-0.510173291,-0.590691419,-0.998194190677954,-0.663460372000751,-0.808231037683376,0.123843727000752,"EAC"
"52",52,"1085",18.75,1.026085409,110.67,0.941437028,57.33,0.767457027,66,0.965801985,28,1.102549013,199,0.935398336,22,0.294292934,80,0.817785013,40,0.884210536,0.944311263,1.09334724,0.575448434284602,0.802928564917991,0.983989146471548,0.0812819710820076,"EAC"
"53",53,"1087",16.5,1.296085409,88,1.434056735,36,1.332461579,63,1.189390714,24,1.102549013,159,0.547028348,16,0.904086171,52,1.202557614,34,0.884210536,1.26461451,1.464202365,-1.3374519025288,0.793053436427559,0.971919766952861,0.0911570995724396,"EAC"
"54",54,"1091",22.92,1.056085409,118.67,0.149032301,49.33,-1.154657797,68,-0.828317379,25,-1.250106035,196,-1.02798239,18,-0.503071129,86,-1.187508851,40,-0.755508785,-0.771012228,-0.892697275,0.967365371735278,-0.802368735925184,-0.978004804591644,0.0468599509251846,"EAC"
"55",55,"1092",17.92,0.116085409,120,0.365093576,61.33,0.739269791,66,0.346288694,22,0.682542295,199,0.260363295,21,1.232951274,67,0.817785013,40,0.385124145,0.533298589,0.617466468,-0.0943301559640759,0.474527146402826,0.582617016643074,-0.0894030014028262,"EAC"
