"","Model","EAC","UGC","UPC"
"WJ3NoImputeInt-15_60.csv","WJ3NoImputeInt-15_60",31,41,25
"WJ3NoImputeInt-15_65.csv","WJ3NoImputeInt-15_65",31,34,24
"WJ3NoImputeInt-15_70.csv","WJ3NoImputeInt-15_70",31,26,19
"WJ3NoImputeInt-20_70.csv","WJ3NoImputeInt-20_70",40,26,19
"WJ3NoImputeNoInt-15_60.csv","WJ3NoImputeNoInt-15_60",34,42,25
"WJ3NoImputeNoInt-15_65.csv","WJ3NoImputeNoInt-15_65",34,34,21
"WJ3NoImputeNoInt-15_70.csv","WJ3NoImputeNoInt-15_70",34,28,17
"WJ3NoImputeNoInt-20_70.csv","WJ3NoImputeNoInt-20_70",44,28,17
