"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","wj3.rcomp.raw","wj3.rcomp.t","decode","Pred","stdPred","resid","CI_group"
"133","178",16.04,-3.810435414,106.67,-0.597940743,65.33,-0.101790656,74,1.18696091,31,1.09549979,212,0.893139414,22,0.328114835,44,1.609702791,0.395682325209627,0.559354312331568,0.683090368322705,1.05034847866843,"UGC"
"134","180",18.97,-0.880435414,117.33,-0.023017636,66.67,-0.025265026,60,-1.21811453,26,-0.636451412,167,-1.469844157,19,-0.452727525,33,-0.922856738,-0.475712151012052,-0.977408691613992,-1.19362351989507,0.0545519536139922,"EPC"
"135","181",17.19,-2.660435414,101.33,-0.885941623,54.67,-0.687510039,66,-0.357666301,26,-0.636451412,190,-0.509606741,12,-1.796228991,37,-0.063771287,-0.641892343762425,-0.753700137858182,-0.920427881615954,0.689928850858182,"UGC"
"137","183",22.45,2.599564586,168.65,2.744811052,81.82,0.88155324,71,0.549087282,32,1.571361153,217,1.293802699,21,0.053831952,42,1.109884717,1.43670318170898,1.11385090419115,1.36024842863554,-0.00396618719114464,"EAC"
"138","184",21.6,1.749564586,148.57,1.661841448,91.58,1.503630532,76,1.654750487,29,0.283170289,222,1.728957879,26,1.567500578,44,1.609702791,1.27584818896858,1.51125419687097,1.84556221916854,0.0984485941290307,"EAC"
"139","185",20.45,0.599564586,141.82,1.297795391,77.33,0.605078838,76,1.654750487,30,0.667255005,211,0.816966741,22,0.328114835,44,1.609702791,1.05621993021687,0.770869743213437,0.941395614928209,0.838833047786565,"UGC"
"142","188",19.34,-0.510435414,132,0.768175794,66.67,-0.025265026,75,1.41646007,31,1.09549979,222,1.728957879,24,0.919173977,43,1.357650474,0.813717656963012,1.25135179584951,1.52816620929206,0.106298678150487,"EAC"
"143","189",22.95,3.099564586,126.67,0.480714241,89.76,1.385497933,74,1.18696091,32,1.571361153,223,1.820310973,25,1.236134677,46,2.126573476,1.1561335591987,1.49870751179684,1.83024005298594,0.627865964203162,"UGC"
"148","201",22.88,3.029564586,106.67,-0.597940743,62.67,-0.25182955,66,-0.357666301,25,-0.875491098,191,-0.45723712,16,-1.109133369,38,0.162183131,-0.520731923010542,-0.496571797393455,-0.606419588622432,0.658754928393456,"UGC"
"149","202",22.84,2.989564586,109.33,-0.45447963,28,-1.945098992,58,-1.456231828,20,-1.684010355,176,-1.14597072,20,-0.20641511,29,-1.708854315,-1.38495520123882,-0.953964498233329,-1.16499318248937,-0.754889816766672,"EPC"
"150","203",20.92,1.069564586,129.33,0.624175354,66.67,-0.025265026,68,-0.017208171,29,0.283170289,215,1.129513136,20,-0.20641511,45,1.8660181,0.216218111475664,0.633598482969513,0.773758262980311,1.23241961703049,"UGC"
"152","205",17.07,-2.780435414,88,-1.60486517,32,-1.778368566,58,-1.456231828,19,-1.784567601,152,-1.887179529,8,-2.276600906,32,-1.126291415,-1.65600829124176,-1.82039112268526,-2.22308403648302,0.694099707685263,"EPC"
"155","209",22.44,2.589564586,113.33,-0.238748633,64,-0.177123521,67,-0.191012637,27,-0.365597421,197,-0.121723812,22,0.328114835,37,-0.063771287,-0.243120553017043,-0.037222495804411,-0.045456569847265,-0.0265487911955883,"EAC"
"156","210",24.1,4.249564586,77.33,-2.180327604,4,-2.710230793,45,-2.527170305,9,-2.186870108,148,-1.976239132,6,-2.442757256,26,-2.249027569,-2.4011497024817,-1.9779703455713,-2.4155217222716,-0.271057223428702,"EPC"
"157","212",19.04,-0.810435414,129.33,0.624175354,101.67,2.175532587,76,1.654750487,32,1.571361153,224,1.91314443,23,0.616530895,44,1.609702791,1.50645489519441,1.48425603464099,1.81259173127725,0.125446756359011,"EAC"
"158","213",16.85,-3.000435414,120,0.120982804,65.33,-0.101790656,63,-0.816650502,27,-0.365597421,167,-1.469844157,14,-1.479125651,36,-0.285282158,-0.290763943765482,-1.11688534582525,-1.36395412609028,0.831603187825254,"EPC"
"160","215",22.35,2.499564586,126.67,0.480714241,69.33,0.12847793,68,-0.017208171,24,-1.085442292,198,-0.062127169,18,-0.685210621,29,-1.708854315,-0.123364573006873,-0.127956425502486,-0.156261961153382,-1.58089788949751,"UPC"
"161","216",16.95,-2.900435414,109.33,-0.45447963,77.33,0.605078838,69,0.163943594,31,1.09549979,204,0.318808273,20,-0.20641511,35,-0.502320313,0.352510647957838,0.182764199529167,0.223193889134166,-0.685084512529165,"UPC"
"162","217",23.23,3.379564586,120,0.120982804,61.33,-0.326455533,61,-1.090377422,25,-0.875491098,176,-1.14597072,17,-0.903974275,37,-0.063771287,-0.542835312256982,-0.824801425281562,-1.00725764862299,0.761030138281563,"EPC"
"163","218",22.4,2.549564586,138.67,1.127907231,77.73,0.629452628,73,0.966039424,32,1.571361153,217,1.293802699,22,0.328114835,42,1.109884717,1.07369010895485,1.05613245487845,1.28976194818707,0.0537522621215566,"EAC"
"165","220",18.92,-0.930435414,129.33,0.624175354,72,0.285205615,71,0.549087282,30,0.667255005,216,1.210976399,25,1.236134677,41,0.866429766,0.531430813968033,0.945895537599349,1.15513926848901,-0.0794657715993479,"EAC"
"166","221",18.02,-1.830435414,121.33,0.19271336,69.33,0.12847793,74,1.18696091,29,0.283170289,216,1.210976399,19,-0.452727525,40,0.62731058,0.447830622221903,0.653953396760642,0.798615934141844,-0.0266428167606407,"EAC"
"167","223",19.03,-0.820435414,121.33,0.19271336,93.85,1.652304876,73,0.966039424,32,1.571361153,203,0.25246606,25,1.236134677,40,0.62731058,1.09560470319677,0.60086551114256,0.733784355050094,0.0264450688574423,"EAC"
"168","224",21.88,2.029564586,120,0.120982804,73.33,0.364159236,62,-0.95661663,28,-0.06006099,116,-2.437412687,13,-1.64421882,29,-1.708854315,-0.13288389502186,-1.52061937276787,-1.85699908719616,-0.188234942232134,"EPC"
"169","225",18.46,-1.390435414,113.33,-0.238748633,76,0.524401914,76,1.654750487,30,0.667255005,215,1.129513136,25,1.236134677,45,1.8660181,0.651914693212675,0.928487978713559,1.13388094340111,0.937530121286443,"UGC"
"172","228",20.73,0.879564586,117.33,-0.023017636,64,-0.177123521,69,0.163943594,29,0.283170289,193,-0.349510156,24,0.919173977,43,1.357650474,0.0617431814742532,-0.0124489966562266,-0.0152028678829535,1.37009947065623,"UGC"
"177","233",21.52,1.669564586,116,-0.094748193,98.31,1.948647675,74,1.18696091,30,0.667255005,208,0.596083262,20,-0.20641511,40,0.62731058,0.927028849206419,0.55782303870848,0.681220358133931,0.0694875412915217,"EAC"
"178","234",20.18,0.329564586,97.33,-1.10167262,61.33,-0.326455533,70,0.352641611,31,1.09549979,205,0.386326069,15,-1.30080831,43,1.357650474,0.00500331196043366,0.012048560783027,0.0147138506713205,1.34560191321697,"UGC"
"179","235",20.93,1.079564586,121.33,0.19271336,58.67,-0.472652869,74,1.18696091,28,-0.06006099,208,0.596083262,20,-0.20641511,39,0.392552867,0.211740102729687,0.354565133985744,0.432999304071701,0.0379877330142574,"EAC"
"184","240",20.97,1.119564586,124,0.336713801,73.64,0.382645391,67,-0.191012637,26,-0.636451412,147,-1.997199648,17,-0.903974275,30,-1.519325758,-0.0270262142645028,-1.16595524473349,-1.42387889037606,-0.353370513266505,"EPC"
"186","242",20.1,0.249564586,120,0.120982804,68,0.051303916,62,-0.95661663,30,0.667255005,131,-2.269813349,21,0.053831952,33,-0.922856738,-0.0292687262801776,-1.17857248673708,-1.43928722154901,0.25571574873708,"EPC"
"188","244",19.33,-0.520435414,62.67,-2.970981707,40,-1.42003334,58,-1.456231828,17,-1.94064961,164,-1.56479225,13,-1.64421882,25,-2.419477502,-1.94697412124557,-1.59868052289969,-1.95232832417449,-0.820796979100308,"EPC"
"189","245",24.03,4.179564586,114.67,-0.166478749,83.18,0.96652674,76,1.654750487,31,1.09549979,218,1.378008433,19,-0.452727525,44,1.609702791,0.887574566954767,0.958752148864295,1.17083992034905,0.650950642135707,"UGC"
"190","246",16.21,-3.640435414,121.33,0.19271336,70.67,0.206837223,68,-0.017208171,29,0.283170289,171,-1.333387148,17,-0.903974275,33,-0.922856738,0.166378175223174,-0.845901652703513,-1.03302550596056,-0.0769550852964854,"EPC"
"191","247",18.11,-1.740435414,138.67,1.127907231,82.33,0.913352048,75,1.41646007,31,1.09549979,209,0.668454285,21,0.053831952,40,0.62731058,1.13830478470926,0.635900493937123,0.776569507097102,-0.00858991393712113,"EAC"
"192","248",23.55,3.699564586,118.67,0.049252248,64,-0.177123521,60,-1.21811453,23,-1.268890484,195,-0.237709099,15,-1.30080831,35,-0.502320313,-0.653719071752419,-0.43603505473942,-0.532491373670221,-0.0662852582605794,"EAC"
"195","251",16.27,-3.580435414,112,-0.31047919,61.33,-0.326455533,68,-0.017208171,28,-0.06006099,212,0.893139414,24,0.919173977,44,1.609702791,-0.178550971020902,0.496820558025912,0.606723378170995,1.11288223297409,"UGC"
"198","254",24.48,4.629564586,84,-1.820596167,41.33,-1.357471503,58,-1.456231828,25,-0.875491098,190,-0.509606741,16,-1.109133369,34,-0.714855583,-1.37744764900699,-0.729406743394857,-0.890760489399834,0.0145511603948563,"EAC"
"201","258",22.31,2.459564586,130.67,0.696445238,80,0.768728188,74,1.18696091,31,1.09549979,218,1.378008433,21,0.053831952,42,1.109884717,0.936908531459025,1.02018388623566,1.24586111386177,0.0897008307643388,"EAC"
