"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","decode","Pred","stdPred","resid","CI_group"
"33","267",17.41,-1.447378049,126.67,0.252333394,58.67,-0.903109588,65,-0.954027742,24,-1.548777695,206,0.179559915,22,-0.089879491,78,-0.084229987,-0.788395407811485,-0.185938767344213,-0.22498838042416,0.101708780344212,"EAC"
"34","268",20.26,1.402621951,168.65,2.583493139,96.67,1.8154877,76,1.689182128,32,1.565330264,214,0.919531189,24,0.595711907,90,1.607696938,1.91337330778316,1.10656145602145,1.33895407225263,0.50113548197855,"UGC"
"38","272",19.6,0.742621951,125.33,0.177922864,77.33,0.370350842,68,-0.403494073,32,1.565330264,198,-0.425054729,20,-0.686756194,78,-0.084229987,0.427527474256787,-0.167705589646379,-0.202925993019237,0.0834756026463789,"EAC"
"40","274",21.66,2.802621951,126.67,0.252333394,69.33,-0.191265178,68,-0.403494073,30,0.369301289,206,0.179559915,21,-0.399119802,76,-0.302609528,0.006718857987313,0.201471057203305,0.243782657476479,-0.504080585203305,"UPC"
"41","276",20.78,1.922621951,160,2.103156508,100.54,2.118432337,75,1.3694923,31,0.921245944,220,1.577379073,26,1.374518222,89,1.439135245,1.62808177225738,1.51368954911326,1.8315844772251,-0.0745543041132619,"EAC"
"43","278",22.11,3.252621951,138.67,0.918696351,83.18,0.794887604,75,1.3694923,31,0.921245944,217,1.236625529,27,1.800243352,88,1.275958382,1.00108054978206,1.3049448501091,1.57900061639316,-0.0289864681091024,"EAC"
"44","280",22.8,3.942621951,134.67,0.696575366,98.92,1.991086117,74,1.067959269,31,0.921245944,215,1.022684864,26,1.374518222,81,0.275033958,1.16921667400732,1.21648928789161,1.47196821018816,-0.941455329891611,"UPC"
"48","285",20.93,2.072621951,150.73,1.588391123,82.33,0.732500795,73,0.783773445,31,0.921245944,218,1.347513,24,0.595711907,80,0.150916205,1.00647782676349,1.15157893301761,1.39342581787706,-1.00066272801761,"UPC"
"50","287",17.13,-1.727378049,126.67,0.252333394,73.33,0.086732721,74,1.067959269,30,0.369301289,196,-0.557549819,23,0.241542026,83,0.536883506,0.444081668274404,-0.254574813323778,-0.308038908502056,0.791458319323778,"UGC"
"53","292",24.8,5.942621951,112,-0.562295321,66.67,-0.372925298,73,0.783773445,28,-0.500519232,218,1.347513,26,1.374518222,88,1.275958382,-0.162991601492927,1.17589577537773,1.42284952039915,0.100062606622268,"EAC"
