"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","decode","Pred","stdPred","resid","CI_group"
"38","272",19.6,0.742621951,125.33,0.177922864,77.33,0.370350842,68,-0.403494073,32,1.565330264,198,-0.425054729,20,-0.686756194,78,-0.084229987,0.427527474256787,-0.063452125623751,-0.0761643529833621,-0.0207778613762489,"EAC"
"40","274",21.66,2.802621951,126.67,0.252333394,69.33,-0.191265178,68,-0.403494073,30,0.369301289,206,0.179559915,21,-0.399119802,76,-0.302609528,0.006718857987313,0.343116402184834,0.411857577358636,-0.645725930184835,"UPC"
"41","276",20.78,1.922621951,160,2.103156508,100.54,2.118432337,75,1.3694923,31,0.921245944,220,1.577379073,26,1.374518222,89,1.439135245,1.62808177225738,1.43618817529749,1.72391928462373,0.00294706970251373,"EAC"
"44","280",22.8,3.942621951,134.67,0.696575366,98.92,1.991086117,74,1.067959269,31,0.921245944,215,1.022684864,26,1.374518222,81,0.275033958,1.16921667400732,0.975370674253607,1.17077994644876,-0.700336716253607,"UPC"
"48","285",20.93,2.072621951,150.73,1.588391123,82.33,0.732500795,73,0.783773445,31,0.921245944,218,1.347513,24,0.595711907,80,0.150916205,1.00647782676349,1.07551183963005,1.29098375341121,-0.924595634630049,"UPC"
"50","287",17.13,-1.727378049,126.67,0.252333394,73.33,0.086732721,74,1.067959269,30,0.369301289,196,-0.557549819,23,0.241542026,83,0.536883506,0.444081668274404,-0.2089434917031,-0.250803983121106,0.7458269977031,"UGC"
"56","295",17.94,-0.917378049,112,-0.562295321,50.67,-1.407452736,62,-1.403904167,21,-1.942887186,177,-1.51304664,16,-1.633201768,64,-1.304599579,-1.32913485257195,-1.58105940974488,-1.89781454388688,0.27645983074488,"EPC"
"61","301",24.39,5.532621951,109.33,-0.710561079,56,-1.074416991,64,-1.114400548,30,0.369301289,202,-0.138307159,24,0.595711907,74,-0.505028675,-0.632519332265284,0.402451247567611,0.483079779274569,-0.907479922567612,"UPC"
"64","306",21.26,2.402621951,138.67,0.918696351,80,0.562702975,73,0.783773445,30,0.369301289,206,0.179559915,21,-0.399119802,90,1.607696938,0.658618515006471,0.412168170363323,0.494743425364706,1.19552876763668,"UGC"
"66","308",24.19,5.332621951,105.33,-0.932682064,32,-2.46871581,57,-1.969711688,18,-2.144400689,194,-0.683194385,14,-1.992679382,59,-1.590746581,-1.87887756282526,-1.15070854478315,-1.38124563734856,-0.440038036216852,"EPC"
"67","309",18.08,-0.777378049,129.33,0.40004385,73.33,0.086732721,73,0.783773445,29,-0.101336301,199,-0.356145185,23,0.241542026,83,0.536883506,0.292303428755046,-0.0919483165792979,-0.110369573423021,0.628831822579298,"UGC"
"68","310",21.71,2.852621951,137.33,0.844285821,81.82,0.695181963,73,0.783773445,30,0.369301289,207,0.264199038,23,0.241542026,83,0.536883506,0.673135629504895,0.487336706542754,0.584971496693777,0.0495467994572463,"EAC"
"70","314",20.1,1.242621951,133.33,0.622164836,97.3,1.864505225,73,0.783773445,32,1.565330264,197,-0.492177048,15,-1.821882902,81,0.275033958,1.20894344251625,0.193882644246223,0.2327257911037,0.0811513137537774,"EAC"
"72","318",23.01,4.152621951,143.72,1.199124096,74.67,0.181128122,75,1.3694923,30,0.369301289,216,1.128366355,25,0.973187769,86,0.965302691,0.779761451777069,0.994020879006839,1.19316660036417,-0.028718188006839,"EAC"
"73","319",21.74,2.882621951,120,-0.118053349,68,-0.28242071,70,0.027589687,27,-0.837180151,199,-0.356145185,23,0.241542026,86,0.965302691,-0.302516130775108,0.0484993173975644,0.0582158451650713,0.916803373602435,"UGC"
"75","321",22.36,3.502621951,141.82,1.093616628,87,1.078137113,71,0.264334349,30,0.369301289,215,1.022684864,21,-0.399119802,81,0.275033958,0.701347344733671,0.892946155027684,1.07184220230767,-0.617912197027685,"UPC"
"76","322",17.25,-1.607378049,124,0.104067636,61.33,-0.729585333,64,-1.114400548,29,-0.101336301,206,0.179559915,22,-0.089879491,64,-1.304599579,-0.460313636534793,-0.0964118062206985,-0.115727294648023,-1.2081877727793,"UPC"
"83","329",19.16,0.302621951,145.12,1.276866441,75.71,0.254820356,69,-0.194791532,28,-0.500519232,198,-0.425054729,16,-1.633201768,83,0.536883506,0.209094008212093,-0.235868846492274,-0.283123660421711,0.772752352492273,"UGC"
"89","337",21.29,2.432621951,126.67,0.252333394,79.09,0.496875811,71,0.264334349,30,0.369301289,202,-0.138307159,19,-0.953376739,80,0.150916205,0.345711210746001,0.188365106085612,0.226102849484509,-0.0374489010856125,"EAC"
"90","338",21.87,3.012621951,109.33,-0.710561079,41.33,-1.960252977,66,-0.782485185,21,-1.942887186,197,-0.492177048,23,0.241542026,78,-0.084229987,-1.34904660679588,-0.148097323893763,-0.177767675002819,0.0638673368937617,"EAC"
"91","339",21.69,2.832621951,142.33,1.121937053,68,-0.28242071,66,-0.782485185,24,-1.548777695,200,-0.285410125,19,-0.953376739,85,0.817598584,-0.372936634319724,-0.0407120609341089,-0.0488684618681357,0.858310644934108,"UGC"
"93","341",20.36,1.502621951,128,0.326188622,54.67,-1.158651516,73,0.783773445,29,-0.101336301,212,0.720611516,24,0.595711907,88,1.275958382,-0.0375064374765579,0.58469798648501,0.701838485966389,0.691260395514989,"UGC"
"96","344",21.02,2.162621951,120,-0.118053349,61.33,-0.729585333,69,-0.194791532,27,-0.837180151,207,0.264199038,22,-0.089879491,76,-0.302609528,-0.46990259127484,0.284497207054453,0.341494401643049,-0.587106735054454,"UPC"
"98","346",21.74,2.882621951,129.33,0.40004385,72,-0.006334704,70,0.027589687,31,0.921245944,210,0.531223067,26,1.374518222,83,0.536883506,0.335636194258578,0.614074456609965,0.737100343873314,-0.0771909506099646,"EAC"
"99","347",20.82,1.962621951,124,0.104067636,69.33,-0.191265178,66,-0.782485185,22,-1.838136047,191,-0.859446859,22,-0.089879491,80,0.150916205,-0.67695469357292,-0.427708122278421,-0.513396707352299,0.578624327278421,"UGC"
"100","348",24.5,5.642621951,104,-1.006537292,74.67,0.181128122,73,0.783773445,32,1.565330264,213,0.818856205,23,0.241542026,81,0.275033958,0.380923634798205,0.895680760532712,1.07512466852433,-0.620646802532712,"UPC"
"102","350",22,3.142621951,168.65,2.583493139,110.91,2.951241508,73,0.783773445,31,0.921245944,211,0.624749454,21,-0.399119802,84,0.674828751,1.80993850897671,0.777693740543751,0.933499704190097,-0.102864989543751,"EAC"
"105","355",20.79,1.932621951,121.33,-0.044198121,46.67,-1.649189484,63,-1.264175695,23,-1.708292335,180,-1.394035675,19,-0.953376739,62,-1.42711639,-1.1664639088116,-1.16759963391068,-1.40152074808089,-0.259516756089321,"EPC"
"107","358",21.44,2.582621951,132,0.548309608,81.95,0.704686515,65,-0.954027742,25,-1.354417267,194,-0.683194385,21,-0.399119802,76,-0.302609528,-0.263862221581734,-0.218077043217387,-0.261767383227124,-0.0845324847826134,"EAC"
"108","359",21.65,2.792621951,136,0.770430594,73.64,0.108514656,70,0.027589687,31,0.921245944,203,-0.061859522,24,0.595711907,81,0.275033958,0.456945220255195,0.295027553099748,0.354134435124966,-0.0199935950997477,"EAC"
"109","360",21.84,2.982621951,125.33,0.177922864,69.33,-0.191265178,67,-0.599179205,28,-0.500519232,192,-0.802277771,24,0.595711907,78,-0.084229987,-0.278260187787642,-0.13896920588792,-0.166810796973887,0.0547392188879197,"EAC"
"111","363",17.07,-1.787378049,150.73,1.588391123,87.69,1.129795142,70,0.027589687,29,-0.101336301,209,0.439986113,21,-0.399119802,81,0.275033958,0.66110991271328,0.248222156694894,0.297951877101995,0.0268118013051065,"EAC"
"116","369",19.91,1.052621951,145.12,1.276866441,80.45,0.595356804,73,0.783773445,32,1.565330264,210,0.531223067,24,0.595711907,76,-0.302609528,1.0553317385316,0.6306616182514,0.757010637192819,-0.9332711462514,"UPC"
"117","374",20.25,1.392621951,120,-0.118053349,78.67,0.466587515,71,0.264334349,27,-0.837180151,213,0.818856205,22,-0.089879491,91,1.781759048,-0.0560779090293496,0.585151916030396,0.702383357391072,1.1966071319696,"UGC"
"118","375",19.96,1.102621951,143.72,1.199124096,87.14,1.088606316,74,1.067959269,27,-0.837180151,209,0.439986113,20,-0.686756194,89,1.439135245,0.62962738247798,0.420709442045549,0.504995886164864,1.01842580295445,"UGC"
"119","1002",18.92,0.062621951,137.3333333,0.84447092,77.33333333,0.370589482,75,1.3694923,30,0.369301289,223,1.943199608,28,2.250895165,90,1.607696938,0.738463497775968,1.63728334144297,1.96530258031003,-0.0295864034429714,"EAC"
"120","1004",17.25,-1.607378049,85.33333333,-2.043101892,42.66666667,-1.883686338,65,-0.954027742,27,-0.837180151,180,-1.394035675,24,0.595711907,78,-0.084229987,-1.4294990307704,-1.22739594023302,-1.4732968616823,1.14316595323302,"EPC"
"121","1005",17.83,-1.027378049,133.3333333,0.622349935,66.66666667,-0.373151302,60,-1.655322263,28,-0.500519232,202,-0.138307159,25,0.973187769,78,-0.084229987,-0.476660715566582,-0.098228996392502,-0.117908547240844,0.0139990093925015,"EAC"
"122","1006",13.5,-5.357378049,69.33333333,-2.931585835,24,-2.864257531,41,-2.793138662,16,-2.214538924,155,-2.120828539,17,-1.425980974,28,-2.321824848,-2.70088023808486,-2.1774916648748,-2.61373818420311,-0.144333183125201,"EPC"
"123","1007",22.92,4.062621951,109.3333333,-0.71037598,61.33333333,-0.729366128,70,0.027589687,31,0.921245944,191,-0.859446859,22,-0.089879491,70,-0.865115373,-0.122726619225788,-0.139704962306351,-0.167693957481956,-0.725410410693649,"UPC"
"125","1011",25.08,6.222621951,116,-0.340174335,78.66666667,0.466347369,75,1.3694923,30,0.369301289,219,1.461080137,21,-0.399119802,88,1.275958382,0.466241655780077,1.31498707868381,1.57843632398291,-0.0390286966838153,"EAC"
"126","1012",25,6.142621951,136,0.770430594,76,0.275435686,75,1.3694923,30,0.369301289,224,2.0709626,25,0.973187769,90,1.607696938,0.696164967277691,1.53296428863224,1.84008387290405,0.0747326493677572,"EAC"
"127","1013",21.67,2.812621951,133.3333333,0.622349935,76,0.275435686,73,0.783773445,29,-0.101336301,192,-0.802277771,25,0.973187769,85,0.817598584,0.395055691251279,-0.0978321634983662,-0.117432211416074,0.915430747498367,"UGC"
"128","1014",21.17,2.312621951,122.6666667,0.03002731,78.66666667,0.466347369,71,0.264334349,31,0.921245944,216,1.128366355,25,0.973187769,91,1.781759048,0.420488743010059,0.916565598809184,1.10019365048784,0.865193449190816,"UGC"
"130","1018",23.83,4.972621951,138.6666667,0.918511253,78.66666667,0.466347369,75,1.3694923,28,-0.500519232,212,0.720611516,22,-0.089879491,90,1.607696938,0.563457922504404,0.830278238872193,0.996619170221156,0.777418699127806,"UGC"
"131","1020",18.08,-0.777378049,121.3333333,-0.044013022,48,-1.56961764,61,-1.534116302,22,-1.838136047,191,-0.859446859,20,-0.686756194,74,-0.505028675,-1.24647075282326,-0.941318755635495,-1.12990594402667,0.436290080635494,"EPC"
"133","1024",24.25,5.392621951,124,0.104067636,72,-0.006334704,73,0.783773445,29,-0.101336301,201,-0.212810632,21,-0.399119802,86,0.965302691,0.195042519007769,0.361126524615916,0.433475912555133,0.604176166384084,"UGC"
"134","1027",22.17,3.312621951,138.6666667,0.918511253,80,0.562702975,71,0.264334349,31,0.921245944,200,-0.285410125,24,0.595711907,64,-1.304599579,0.66669863025454,0.213660751682302,0.256466315785952,-1.5182603306823,"UPC"
"136","1029",21.92,3.062621951,125.3333333,0.178107963,78.66666667,0.466347369,70,0.027589687,30,0.369301289,212,0.720611516,26,1.374518222,90,1.607696938,0.260336576990172,0.710139444924026,0.852411337786208,0.897557493075973,"UGC"
"137","1031",19.58,0.722621951,134.6666667,0.696390267,81.33333333,0.659650099,76,1.689182128,29,-0.101336301,223,1.943199608,25,0.973187769,89,1.439135245,0.735971548270668,1.38395266466488,1.66121872373986,0.0551825803351216,"EAC"
"138","1035",17.42,-1.437378049,116,-0.340174335,62.66666667,-0.641335782,64,-1.114400548,28,-0.500519232,183,-1.264250074,24,0.595711907,65,-1.239062052,-0.649107474293112,-0.87805498173906,-1.05396767791427,-0.36100707026094,"EPC"
"139","1036",21.75,2.892621951,138.6666667,0.918511253,81.33333333,0.659650099,76,1.689182128,30,0.369301289,221,1.696462711,27,1.800243352,89,1.439135245,0.909161192280368,1.39673229521184,1.67655867147807,0.0424029497881631,"EAC"
"141","1040",23.08,4.222621951,136,0.770430594,64,-0.55261731,64,-1.114400548,22,-1.838136047,174,-1.622018198,16,-1.633201768,53,-1.853378314,-0.683680827830049,-1.21993631662223,-1.46434275022222,-0.633441997377766,"EPC"
"142","1044",16.67,-2.187378049,109.3333333,-0.71037598,76,0.275435686,72,0.516151197,31,0.921245944,213,0.818856205,21,-0.399119802,81,0.275033958,0.250614211773299,0.311446897290831,0.373843289841961,-0.0364129392908312,"EAC"
"144","1048",21.58,2.722621951,112,-0.562295321,77.33333333,0.370589482,75,1.3694923,30,0.369301289,217,1.236625529,23,0.241542026,81,0.275033958,0.386771937532496,0.954027837762871,1.14516120925992,-0.678993879762871,"UPC"
"147","1058",17.58,-1.277378049,110.6666667,-0.636335647,69.33333333,-0.191035907,61,-1.534116302,29,-0.101336301,198,-0.425054729,20,-0.686756194,61,-1.484263629,-0.615706039300893,-0.525555728419482,-0.630847455165189,-0.958707900580518,"UPC"
"148","1059",15,-3.857378049,97.33333333,-1.376738935,38.66666667,-2.110130914,60,-1.655322263,25,-1.354417267,167,-1.84108425,15,-1.821882902,46,-2.068887104,-1.6241523448016,-1.80321685823122,-2.16447981538374,-0.265670245768778,"EPC"
"149","1061",22.92,4.062621951,138.6666667,0.918511253,72,-0.006334704,75,1.3694923,29,-0.101336301,215,1.022684864,26,1.374518222,86,0.965302691,0.545083137020358,0.911227147699356,1.09378567486391,0.054075543300644,"EAC"
"150","1068",17.75,-1.107378049,105.3333333,-0.932496965,50.66666667,-1.407657172,59,-1.768012493,24,-1.548777695,152,-2.175154321,20,-0.686756194,52,-1.889660066,-1.41423608132142,-1.87881301426083,-2.25522117746324,-0.0108470517391672,"EPC"
"151","1073",23.17,4.312621951,133.3333333,0.622349935,80,0.562702975,76,1.689182128,32,1.565330264,216,1.128366355,26,1.374518222,90,1.607696938,1.10989132556042,1.03164394113859,1.23832720220878,0.576052996861409,"UGC"
"152","1082",14.67,-4.187378049,102.6666667,-1.080577619,72,-0.006334704,69,-0.194791532,30,0.369301289,195,-0.621210111,19,-0.953376739,80,0.150916205,-0.228100641503351,-0.790164138185788,-0.948468466350975,0.941080343185788,"UGC"
"155","1087",16.5,-2.357378049,88,-1.895021235,36,-2.256492138,63,-1.264175695,24,-1.548777695,159,-2.039372223,16,-1.633201768,52,-1.889660066,-1.74111669079057,-2.06216924726502,-2.47531165828144,0.172509181265016,"EPC"
"156","1092",17.92,-0.937378049,120,-0.118053349,61.33333333,-0.729366128,66,-0.782485185,22,-1.838136047,199,-0.356145185,21,-0.399119802,67,-1.098999799,-0.867010177314089,-0.488993749644218,-0.586960517936669,-0.610006049355782,"UPC"
"158","1094",19.75,0.892621951,137.3333333,0.84447092,82.66666667,0.757182705,72,0.516151197,31,0.921245944,204,0.016573106,21,-0.399119802,80,0.150916205,0.759762691509101,0.252065359804037,0.302565041357797,-0.101149154804037,"EAC"
"159","1095",18.5,-0.357378049,93.33333333,-1.598859921,61.33333333,-0.729366128,64,-1.114400548,26,-1.119390511,190,-0.915079896,20,-0.686756194,64,-1.304599579,-1.14050427705011,-0.908681246588653,-1.09072971892031,-0.395918332411347,"EPC"
"160","1096",18.25,-0.607378049,122.6666667,0.03002731,73.33333333,0.086966756,61,-1.534116302,28,-0.500519232,159,-2.039372223,18,-1.199581025,65,-1.239062052,-0.479410367067117,-1.41909065439275,-1.70339638498981,0.180028602392755,"EPC"
"163","1099",17.5,-1.357378049,109.3333333,-0.71037598,60,-0.816699134,60,-1.655322263,27,-0.837180151,145,-2.2820586,18,-1.199581025,67,-1.098999799,-1.00489438206164,-1.84494719643559,-2.21457055977581,0.745947397435587,"EPC"
"165","1106",18.58,-0.277378049,112,-0.562295321,65.33333333,-0.463219614,61,-1.534116302,26,-1.119390511,184,-1.218460973,19,-0.953376739,72,-0.692274606,-0.919755437070503,-1.06484557391109,-1.27818056977991,0.372570967911092,"EPC"
"166","1108",16.25,-2.607378049,100,-1.228658278,77.33333333,0.370589482,68,-0.403494073,30,0.369301289,214,0.919531189,25,0.973187769,89,1.439135245,-0.22306539501396,0.48923688115792,0.587252359132093,0.949898363842079,"UGC"
"168","1119",19.08,0.222621951,106.6666667,-0.858456633,58.66666667,-0.903325264,63,-1.264175695,24,-1.548777695,217,1.236625529,24,0.595711907,68,-1.024299871,-1.143683821815,0.599673983390074,0.719814828005942,-1.62397385439008,"UPC"
"169","1120",22.25,3.392621951,125.3333333,0.178107963,60,-0.816699134,68,-0.403494073,31,0.921245944,187,-1.073095422,20,-0.686756194,76,-0.302609528,-0.0302098249906919,-0.340171172248178,-0.408322289614479,0.0375616442481787,"EAC"
"171","1127",19,0.142621951,108,-0.784416306,72,-0.006334704,71,0.264334349,32,1.565330264,216,1.128366355,23,0.241542026,84,0.674828751,0.259728400785375,0.738768275523836,0.886775771373972,-0.0639395245238362,"EAC"
"172","1128",18.42,-0.437378049,122.6666667,0.03002731,62.66666667,-0.641335782,70,0.027589687,28,-0.500519232,211,0.624749454,26,1.374518222,83,0.536883506,-0.271059504262916,0.463990355189773,0.556947853262408,0.0728931508102263,"EAC"
"173","1129",22.67,3.812621951,62.66666667,-3.301787477,52,-1.325493516,76,1.689182128,31,0.921245944,215,1.022684864,24,0.595711907,85,0.817598584,-0.504213230158688,0.836244025686763,1.00378016424336,-0.0186454416867644,"EAC"
"174","1133",22,3.142621951,120,-0.118053349,60,-0.816699134,70,0.027589687,19,-2.092724406,205,0.097032206,18,-1.199581025,85,0.817598584,-0.74997180054599,0.141612609338685,0.169983789227377,0.675985974661314,"UGC"
"176","1142",22.17,3.312621951,124,0.104067636,64,-0.55261731,61,-1.534116302,26,-1.119390511,195,-0.621210111,24,0.595711907,78,-0.084229987,-0.775514121822299,-0.0489127841746002,-0.0587121475257458,-0.0353172028254004,"EAC"
"179","1150",20.67,1.812621951,98.66666667,-1.302698606,69.33333333,-0.191035907,68,-0.403494073,27,-0.837180151,210,0.531223067,21,-0.399119802,89,1.439135245,-0.683602184282983,0.361147817473288,0.433501471300206,1.07798742752671,"UGC"
"181","1154",20.67,1.812621951,86.66666667,-1.969061563,18.66666667,-3.103592046,55,-2.142760388,18,-2.144400689,197,-0.492177048,18,-1.199581025,65,-1.239062052,-2.33995367156608,-0.934726163801486,-1.12199256861089,-0.304335888198516,"EPC"
"182","1157",21.5,2.642621951,138.6666667,0.918511253,82.66666667,0.757182705,75,1.3694923,32,1.565330264,220,1.577379073,24,0.595711907,88,1.275958382,1.15262913054729,1.22660417885064,1.47234647581316,0.0493542031493618,"EAC"
"185","1163",22,3.142621951,118.6666667,-0.192093676,64,-0.55261731,67,-0.599179205,26,-1.119390511,193,-0.743538513,21,-0.399119802,84,0.674828751,-0.615820175544797,-0.29569456626776,-0.354935080273367,0.970523317267759,"UGC"
"187","1168",20.25,1.392621951,112,-0.562295321,49.33333333,-1.489036212,62,-1.403904167,26,-1.119390511,180,-1.394035675,20,-0.686756194,51,-1.923995676,-1.14365655280199,-1.10460270252634,-1.32590278467009,-0.819392973473663,"EPC"
"191","1179",20.75,1.892621951,101.3333333,-1.154617951,82.66666667,0.757182705,73,0.783773445,32,1.565330264,202,-0.138307159,23,0.241542026,81,0.275033958,0.487917115790541,0.210096136307413,0.252187552534018,0.0649378216925876,"EAC"
"193","1183",16.67,-2.187378049,138.6666667,0.918511253,78.66666667,0.466347369,67,-0.599179205,30,0.369301289,205,0.097032206,24,0.595711907,70,-0.865115373,0.288745176469221,0.121007938672599,0.145251104661938,-0.986123311672599,"UPC"
"194","1185",23.67,4.812621951,137.3333333,0.84447092,74.66666667,0.180892531,73,0.783773445,32,1.565330264,214,0.919531189,21,-0.399119802,86,0.965302691,0.843616790039619,0.934613182483063,1.12185695204738,0.0306895085169363,"EAC"
"195","1186",18.33,-0.527378049,136,0.770430594,69.33333333,-0.191035907,75,1.3694923,29,-0.101336301,218,1.347513,16,-1.633201768,88,1.275958382,0.461887671523722,0.527840580288209,0.633590062321887,0.74811780171179,"UGC"
"197","1189",21.5,2.642621951,133.3333333,0.622349935,80,0.562702975,68,-0.403494073,31,0.921245944,195,-0.621210111,18,-1.199581025,78,-0.084229987,0.425701195237251,-0.0122622879469125,-0.0147189589397144,-0.0719676990530873,"EAC"
"198","1190",18.17,-0.687378049,105.3333333,-0.932496965,58.66666667,-0.903325264,72,0.516151197,29,-0.101336301,209,0.439986113,25,0.973187769,81,0.275033958,-0.355251833231898,0.281371296079566,0.337742234409977,-0.00633733807956668,"EAC"
"199","1191",15.83,-3.027378049,97.33333333,-1.376738935,53.33333333,-1.242557705,57,-1.969711688,26,-1.119390511,174,-1.622018198,19,-0.953376739,47,-2.043257431,-1.4270997098176,-1.64122431280747,-1.97003310022646,-0.402033118192527,"EPC"
