"CIs","RC_Measure","EAC","UGC","UPC"
"10_70","WJ3",26,24,15
"10_70","KTEA",18,32,24
"15_65","WJ3",33,30,16
"15_65","KTEA",20,37,30
"15_60","WJ3",33,36,19
"15_60","KTEA",20,40,35
"15_70","WJ3",33,24,15
"15_70","KTEA",20,32,24
"20_65","WJ3",46,30,16
"20_65","KTEA",37,37,30
"20_70","WJ3",46,24,15
"20_70","KTEA",37,32,24
