Composite_lh_Volume
Composite_rh_Volume
Composite_lh_Thickness
Composite_rh_Thickness
KTEANoInt15_65-imputed_lh_Vol
KTEANoInt15_65-imputed_rh_Vol
KTEANoInt15_65-imputed_lh_Thick
KTEANoInt15_65-imputed_rh_Thick
KTEANoInt15_60-notimputed_lh_Vo
KTEANoInt15_60-notimputed_rh_Vo
KTEANoInt15_60-notimputed_lh_Th
KTEANoInt15_60-notimputed_rh_Th
KTEANoInt15_65-notimputed_lh_Vo
KTEANoInt15_65-notimputed_rh_Vo
KTEANoInt15_65-notimputed_lh_Th
KTEANoInt15_65-notimputed_rh_Th
WJNoInt15_60-notimputed_lh_Vol
WJNoInt15_60-notimputed_rh_Vol
WJNoInt15_60-notimputed_lh_Th
WJNoInt15_60-notimputed_rh_Th
