"SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.t","towre.nw.ipm","towre.nw.ipm.cs","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","nd.rcomp.raw","nd.rcomp.t","decode","Pred1","stdPred1","CDI.1","Pred2","stdPred2","CDI.2"
"14",22.79,1.493173653,141.82,0.818463468,77.33,0.217002935,75,0.943371987,31,0.836122116,214,0.475003895,22,-0.202170189,38,1.34149498,0.703740126467549,0.475935287904774,0.624348696136618,0.865559692095226,0.609822312183814,0.754031781296058,0.731672667816185
"19",25.36,4.063173653,113.33,-0.745002887,77.33,0.217002935,73,0.181522516,29,-0.305137928,207,-0.206019921,21,-0.511038042,29,-0.656880793,-0.162903840990778,-0.260489774848211,-0.341719673635585,-0.39639101815179,-0.261982677386279,-0.323935777552311,-0.394898115613722
"23",16.85,-4.446826347,126.67,0.021890491,72,-0.118314409,67,-1.179749025,22,-1.932935714,187,-1.435620999,20,-0.794239493,29,-0.656880793,-0.802277164178894,-0.933348170850511,-1.22439904807659,0.276467377850512,-1.16935621764765,-1.44588306147585,0.512475424647651
"31",22.55,1.253173653,164.21,1.879702076,99.47,1.609859596,74,0.537397232,32,1.600516112,220,1.200752758,28,2.248988166,35,0.524957176,1.40686875395824,1.23828974715984,1.62443216272573,-0.713332571159848,0.270708688917288,0.334725297600542,0.254248487082708
"37",22.3,1.003173653,118.67,-0.429815582,77.33,0.217002935,75,0.943371987,31,0.836122116,209,-0.027772453,21,-0.511038042,33,0.069114204,0.391670363969039,0.114721611116167,0.15049585553654,-0.0456074071161671,0.316596782200842,0.391464908509939,-0.247482578200842
"42",21.09,-0.206826347,121.3333333,-0.276814621,70.67,-0.201986467,65,-1.429892483,29,-0.305137928,183,-1.589455005,23,0.133421932,5,-1.943863058,-0.55345787470691,-0.912036347297254,-1.19644144630785,-1.03182671070275,-0.867523117045367,-1.07267311827935,-1.07633994095463
"50",18.92,-2.376826347,168.65,2.076268365,105.45,1.9860693,74,0.537397232,32,1.600516112,213,0.36752449,22,-0.202170189,37,1.050590042,1.55006275220779,0.872343064822948,1.1443703985224,0.178246977177051,0.874969159923514,1.08187998544002,0.175620882076486
"52",18.32,-2.976826347,106.67,-1.155096236,84.55,0.671222678,74,0.537397232,29,-0.305137928,216,0.7010734,25,0.888989635,37,1.050590042,-0.0629035634981027,0.374136469613512,0.490805416031874,0.676453572386488,0.380619948746891,0.470628135810829,0.66997009325311
"55",18.51,-2.786826347,164.21,1.879702076,112.5,2.429594117,75,0.943371987,32,1.600516112,222,1.476230811,26,1.3110607,38,1.34149498,1.71329607294915,1.51007923007173,1.98097519195991,-0.168584250071729,0.806459171746957,0.997168902577524,0.535035808253043
"61",22.6,1.303173653,137.33,0.589750764,81.33,0.468648222,74,0.537397232,31,0.836122116,213,0.36752449,24,0.496791987,33,0.069114204,0.607979583476286,0.430342513434974,0.564538486607933,-0.361228309434974,0.49600248692275,0.613296088505724,-0.42688828292275
"66",24.91,3.613173653,122.67,-0.201031834,62.67,-0.70527704,67,-1.179749025,28,-0.721307337,200,-0.740297717,18,-1.287896925,19,-1.643736243,-0.701841308953389,-0.76235221234823,-1.00008051897821,-0.88138403065177,-1.02036665564233,-1.26166076822198,-0.623369587357674
"83",23.83,2.533173653,138.67,0.658623928,89.6,0.988924852,75,0.943371987,30,0.207905859,218,0.942685733,25,0.888989635,36,0.778669358,0.699706656480304,0.716721053711359,0.940219955823965,0.0619483042886415,0.653980628059714,0.808632560756007,0.124688729940286
"85",21.73,0.433173653,126.67,0.021890491,73.33,-0.034642351,74,0.537397232,30,0.207905859,209,-0.027772453,21,-0.511038042,33,0.069114204,0.183137807740275,0.0326869682759054,0.0428799178370928,0.0364272357240944,0.215084645719477,0.265947400276521,-0.145970441719478
"88",22.61,1.313173653,133.33,0.380925609,74.67,0.04965882,74,0.537397232,32,1.600516112,218,0.942685733,22,-0.202170189,26,-1.061135781,0.642124443210943,0.651602841523282,0.85479558846764,-1.71273862252328,0.712777513947565,0.881333607786797,-1.77391329494757
"91",21.92,0.623173653,117.33,-0.507830159,61.33,-0.78957821,69,-0.845313065,27,-1.05646916,188,-1.393308023,21,-0.511038042,12,-1.882501508,-0.799797648453123,-0.98796046497917,-1.2960413815968,-0.89454104302083,-1.00753032836898,-1.24578893387718,-0.874971179631016
"92",24.88,3.583173653,152.2,1.325906185,89.27,0.968164116,76,1.405698115,31,0.836122116,220,1.200752758,23,0.133421932,36,0.778669358,1.1339726329567,0.957756335286066,1.25641853909593,-0.179086977286066,0.930671313196305,1.15075446414159,-0.152001955196305
"94",22.08,0.783173653,154.5,1.434594152,76.36,0.155978954,74,0.537397232,30,0.207905859,219,1.069603701,23,0.133421932,35,0.524957176,0.583969049238477,0.708323242501202,0.929203410902039,-0.183366066501202,0.721097171266408,0.891620679778516,-0.196139995266408
"95",23.31,2.013173653,155.77,1.494057207,90,1.01408938,72,-0.129880221,30,0.207905859,206,-0.290619687,23,0.133421932,37,1.050590042,0.646543056252058,0.133389001546438,0.174984396669912,0.917201040453562,0.333672231348829,0.412578323154849,0.71691781065117
"97",20.24,-1.056826347,125.33,-0.05215641,74.67,0.04965882,73,0.181522516,29,-0.305137928,210,0.066058202,25,0.888989635,35,0.524957176,-0.0315282504915069,0.0828826714805742,0.108728411617606,0.442074504519426,0.202171375720874,0.249980427956245,0.322785800279126
"102",19.4,-1.896826347,113.33,-0.745002887,72,-0.118314409,75,0.943371987,30,0.207905859,215,0.586151095,25,0.888989635,31,-0.322907328,0.0719901374826282,0.365549356746542,0.479540538520194,-0.688456684746542,0.406282376304884,0.502359159055435,-0.729189704304883
"103",20.91,-0.386826347,118.67,-0.429815582,52,-1.376540841,73,0.181522516,29,-0.305137928,212,0.26360814,25,0.888989635,37,1.050590042,-0.482492958740221,-0.0438209896041969,-0.0574859196148881,1.0944110316042,0.167601674146326,0.207235757689092,0.882988367853674
"105",18.09,-3.206826347,82.67,-2.826050562,57.33,-1.041223497,68,-1.02448031,29,-0.305137928,196,-0.990726208,21,-0.511038042,31,-0.322907328,-1.29922307421198,-0.968928440721004,-1.27107450094798,0.646021112721004,-1.05579589846028,-1.3054682421975,0.732888570460285
"111",23.55,2.253173653,137.33,0.589750764,70.67,-0.201986467,73,0.181522516,28,-0.721307337,211,0.163152626,17,-1.500491624,36,0.778669358,-0.0380051309835032,-0.0712159443685761,-0.0934235874480158,0.849885302368576,-0.148893813446623,-0.184103902244874,0.927563171446623
