"SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","gm.rcomp.raw","gm.rcomp.cs","decode","Pred1","stdPred1","CDI.1","Pred2","stdPred2","CDI.2"
"1",21.28,0.964878049,148.57,2.069865415,77.73,0.993397563,74,1.739881792,29,0.683499613,216,1.696704364,25,1.713231029,48,1.708952422,1.37166109574488,1.50958403082781,1.9292055212675,0.199368391172199,1.37592412672086,1.72623574225819,0.333028295279148
"11",19.05,-1.265121951,148.57,2.069865415,81.33,1.204123445,74,1.739881792,31,1.351039833,214,1.545886673,26,2.036760571,46,1.502129384,1.59122762124909,1.51553314986247,1.93680832644705,-0.0134037658624628,1.29705875004224,1.62729116427741,0.205070633957762
"12",20.01,-0.305121951,147.14,1.987365527,80,1.126019182,69,0.717168158,28,0.383675823,200,0.580988589,20,0.25194701,38,0.674837231,1.05355717251537,0.603803158981716,0.77164328997051,0.0710340720182936,0.665089842135156,0.834422360205704,0.00974738886485486
"15",19.57,-0.745121951,106.67,-0.347439007,74.67,0.816016453,68,0.526539925,31,1.351039833,180,-0.543351331,17,-0.497145172,24,-0.772924037,0.586539301009146,-0.232170167973005,-0.296706881392903,-0.540753869027001,-0.28383242998441,-0.356096441651333,-0.489091607015596
"17",19.71,-0.605121951,117.33,0.267560161,64,0.210743533,60,-0.838838045,27,0.105336261,198,0.455607534,25,1.713231029,24,-0.772924037,-0.0637995224692325,0.482323307870558,0.616395490109979,-1.25524734487056,0.514166531374468,0.645073828320396,-1.28709056837447
"18",22.19,1.874878049,122.67,0.575636668,65.33,0.285016054,67,0.340448985,30,1.005666497,186,-0.235388741,27,2.370566055,32,0.054368116,0.551692051012096,0.366358685644826,0.468195996140163,-0.311990569644826,0.409947377848309,0.514320377345558,-0.355579261848309
"21",20.3,-0.015121951,105.33,-0.424746594,77.33,0.970118678,70,0.912377121,28,0.383675823,201,0.644812863,21,0.523128096,37,0.571425711,0.46035625699826,0.537945805652891,0.687479462673897,0.0334799053471098,0.555657506449779,0.697128445843711,0.0157682045502219
"22",18.16,-2.155121951,101.33,-0.655515513,44,-0.860340525,61,-0.683273436,21,-1.161028857,177,-0.688432435,9,-2.004789862,13,-1.910450748,-0.840039582740146,-0.884570739289328,-1.13045628426247,-1.02588000871067,-0.973912010517973,-1.22187095189416,-0.936538737482027
"23",16.85,-3.465121951,126.67,0.806405586,72,0.662586772,67,0.340448985,22,-0.993827275,187,-0.181694823,20,0.25194701,42,1.088483307,0.20390351700838,-0.0322413120211386,-0.0412034811890393,1.12072461902114,-0.0959272105710453,-0.120350371344643,1.18441051757105
"24",24.85,4.534878049,141.82,1.680442865,96.32,2.103781162,75,1.958638787,32,1.72048734,195,0.273125761,20,0.25194701,39,0.77824875,1.86583753850104,0.659234294534901,0.842482707039999,0.1190144554651,0.81420703234954,1.02150493150397,-0.0359582823495367
"25",17.75,-2.565121951,121.33,0.49832908,70.67,0.586638059,62,-0.523481815,28,0.383675823,196,0.333214708,13,-1.342148869,27,-0.46268948,0.236290286779393,0.0241751935454916,0.0308952107744888,-0.486864673545491,0.0439146686974466,0.0550953858555673,-0.506604148697445
"27",23.71,3.394878049,148.57,2.069865415,96.92,2.140497016,76,2.182232881,32,1.72048734,222,2.169572441,25,1.713231029,48,1.708952422,2.02827066299864,1.93777712477919,2.47642413524651,-0.228824702779189,1.85821922079328,2.33132363449841,-0.149266798793276
"30",18.44,-1.875121951,122.67,0.575636668,77.33,0.970118678,69,0.717168158,29,0.683499613,198,0.455607534,23,1.097245117,10,-2.220685305,0.736605779258371,0.575879848948731,0.735958092731687,-2.79656515394873,0.532298124480365,0.667821742595794,-2.75298342948037
"31",22.55,2.234878049,164.21,2.972171887,99.47,2.297115867,74,1.739881792,32,1.72048734,220,2.008503557,28,2.714589379,47,1.605540903,2.18241422151339,2.02896705278248,2.59296227356706,-0.423426149782483,1.46766297438682,1.84133138941069,0.137877928613184
"32",20.23,-0.085121951,122.67,0.575636668,60,-0.010501799,62,-0.523481815,27,0.105336261,165,-1.21258895,15,-0.941950193,22,-0.979747076,0.0367473287740963,-0.789547680206124,-1.00901951327741,-0.190199395793876,-0.876133753546447,-1.09919825597629,-0.103613322453553
"33",19.13,-1.185121951,116,0.190829496,57.33,-0.15634392,64,-0.191037682,24,-0.609295646,162,-1.330255436,20,0.25194701,24,-0.772924037,-0.191461937988536,-0.737675463547501,-0.942728293486804,-0.0352485734524992,-0.787471494732118,-0.987962500177453,0.0145474577321177
"34",19.33,-0.985121951,113.33,0.036791243,68,0.435153811,65,-0.018295839,30,1.005666497,179,-0.592359152,20,0.25194701,18,-1.393393152,0.364828928017974,-0.202412696388541,-0.25867767777894,-1.19098045561146,-0.265945187119401,-0.333655089424864,-1.1274479648806
"35",21.55,1.234878049,98.67,-0.808976844,16,-2.167014402,53,-1.813269066,11,-2.107241837,180,-0.543351331,9,-2.004789862,15,-1.703627709,-1.72412553723139,-0.998527488184662,-1.27608977313686,-0.705100220815339,-1.2569742779303,-1.57700114680246,-0.446653431069704
